item,itemLabel
http://www.wikidata.org/entity/Q201927,David Hasselhoff
http://www.wikidata.org/entity/Q203215,Max von Sydow
http://www.wikidata.org/entity/Q203804,Tim Roth
http://www.wikidata.org/entity/Q203860,Wladimir Iwanowitsch Nemirowitsch-Dantschenko
http://www.wikidata.org/entity/Q206364,David Boreanaz
http://www.wikidata.org/entity/Q207596,Daryl Hannah
http://www.wikidata.org/entity/Q207598,Shannen Doherty
http://www.wikidata.org/entity/Q209471,Telly Savalas
http://www.wikidata.org/entity/Q211040,Rose McGowan
http://www.wikidata.org/entity/Q211415,Edward James Olmos
http://www.wikidata.org/entity/Q214024,Margherita Wallmann
http://www.wikidata.org/entity/Q214574,Jan Josef Liefers
http://www.wikidata.org/entity/Q214941,Johann Baptist Krebs
http://www.wikidata.org/entity/Q216461,Marc Roland
http://www.wikidata.org/entity/Q220405,Endre Gellért
http://www.wikidata.org/entity/Q220489,Zoran Bihać
http://www.wikidata.org/entity/Q228787,Jada Pinkett Smith
http://www.wikidata.org/entity/Q230015,Jennie Garth
http://www.wikidata.org/entity/Q230605,Lea Thompson
http://www.wikidata.org/entity/Q231665,Belladonna
http://www.wikidata.org/entity/Q232120,Angela Bassett
http://www.wikidata.org/entity/Q233118,Traci Lords
http://www.wikidata.org/entity/Q233732,Ingrid Thulin
http://www.wikidata.org/entity/Q237255,Pernilla August
http://www.wikidata.org/entity/Q237809,JoBeth Williams
http://www.wikidata.org/entity/Q239150,Leslie Hope
http://www.wikidata.org/entity/Q239527,Alexandra Dahlström
http://www.wikidata.org/entity/Q239893,Marie-France Pisier
http://www.wikidata.org/entity/Q242707,Paul Bettany
http://www.wikidata.org/entity/Q242949,Danica McKellar
http://www.wikidata.org/entity/Q244234,John Turturro
http://www.wikidata.org/entity/Q246422,Ralph Lundsten
http://www.wikidata.org/entity/Q255525,Anna Malle
http://www.wikidata.org/entity/Q258793,Krysten Ritter
http://www.wikidata.org/entity/Q259911,Gunnel Lindblom
http://www.wikidata.org/entity/Q259940,Valérie Lemercier
http://www.wikidata.org/entity/Q261812,Drake Bell
http://www.wikidata.org/entity/Q262126,Kati Outinen
http://www.wikidata.org/entity/Q263367,Alice Guy-Blaché
http://www.wikidata.org/entity/Q265031,Renée Taylor
http://www.wikidata.org/entity/Q267097,Mandy Patinkin
http://www.wikidata.org/entity/Q267381,Júlia Bereczky
http://www.wikidata.org/entity/Q268569,Mireille Darc
http://www.wikidata.org/entity/Q269106,Michele Lee
http://www.wikidata.org/entity/Q270848,Erika Lust
http://www.wikidata.org/entity/Q270911,Åke Sandgren
http://www.wikidata.org/entity/Q274227,Édouard Baer
http://www.wikidata.org/entity/Q275875,Verka Serduchka
http://www.wikidata.org/entity/Q276751,Nyrki Tapiovaara
http://www.wikidata.org/entity/Q281797,József Madaras
http://www.wikidata.org/entity/Q284166,Sondra Locke
http://www.wikidata.org/entity/Q286890,Harold Ramis
http://www.wikidata.org/entity/Q290902,Wojciech Bogusławski
http://www.wikidata.org/entity/Q291141,Steven Zaillian
http://www.wikidata.org/entity/Q295080,Aaron Spelling
http://www.wikidata.org/entity/Q295148,Peter Stormare
http://www.wikidata.org/entity/Q296287,Ben Gazzara
http://www.wikidata.org/entity/Q297736,Jewgeni Alexandrowitsch Jewtuschenko
http://www.wikidata.org/entity/Q297945,Lee Strasberg
http://www.wikidata.org/entity/Q298025,Joss Whedon
http://www.wikidata.org/entity/Q298908,Patrick McGoohan
http://www.wikidata.org/entity/Q302650,Tate Donovan
http://www.wikidata.org/entity/Q309690,Charles Dance
http://www.wikidata.org/entity/Q311165,Alexander Siddig
http://www.wikidata.org/entity/Q311476,Per Olov Enquist
http://www.wikidata.org/entity/Q311615,Thomas Haden Church
http://www.wikidata.org/entity/Q311779,Josh Peck
http://www.wikidata.org/entity/Q311962,Mike Epps
http://www.wikidata.org/entity/Q312290,Sven Nykvist
http://www.wikidata.org/entity/Q312480,Leonid Iowitsch Gaidai
http://www.wikidata.org/entity/Q312657,Chuck Jones
http://www.wikidata.org/entity/Q313107,Jon Hamm
http://www.wikidata.org/entity/Q313501,Matthew Gray Gubler
http://www.wikidata.org/entity/Q314301,Peter Yates
http://www.wikidata.org/entity/Q314502,Jason Reitman
http://www.wikidata.org/entity/Q314841,Jackie Earle Haley
http://www.wikidata.org/entity/Q315181,Alexei Wladimirowitsch Worobjow
http://www.wikidata.org/entity/Q315707,Karel Berman
http://www.wikidata.org/entity/Q315750,Brad Falchuk
http://www.wikidata.org/entity/Q316844,Ryan Murphy
http://www.wikidata.org/entity/Q317343,Chiwetel Ejiofor
http://www.wikidata.org/entity/Q318388,Peter North
http://www.wikidata.org/entity/Q318991,Gad Elmaleh
http://www.wikidata.org/entity/Q319849,Lukas Moodysson
http://www.wikidata.org/entity/Q320185,Eugene Mirman
http://www.wikidata.org/entity/Q321344,Erland Josephson
http://www.wikidata.org/entity/Q324944,Philippe Sollers
http://www.wikidata.org/entity/Q325960,Phil Crane
http://www.wikidata.org/entity/Q162340,Julian Jarrold
http://www.wikidata.org/entity/Q163263,Eva Longoria
http://www.wikidata.org/entity/Q164674,Stephen Poliakoff
http://www.wikidata.org/entity/Q165828,Vincent McEveety
http://www.wikidata.org/entity/Q175333,Joaquín Reyes
http://www.wikidata.org/entity/Q175498,Nils Gaup
http://www.wikidata.org/entity/Q178387,Winrich Kolbe
http://www.wikidata.org/entity/Q182763,Forest Whitaker
http://www.wikidata.org/entity/Q183141,Peter Berg
http://www.wikidata.org/entity/Q183337,David Attenborough
http://www.wikidata.org/entity/Q186485,Billy Crystal
http://www.wikidata.org/entity/Q188137,J. J. Abrams
http://www.wikidata.org/entity/Q188492,Seth MacFarlane
http://www.wikidata.org/entity/Q191037,Jim Henson
http://www.wikidata.org/entity/Q191064,Liv Ullmann
http://www.wikidata.org/entity/Q192021,Simon Baker
http://www.wikidata.org/entity/Q193513,Jensen Ackles
http://www.wikidata.org/entity/Q200261,Tom Welling
http://www.wikidata.org/entity/Q201842,Adam Scott
http://www.wikidata.org/entity/Q202409,Peter Hammond
http://www.wikidata.org/entity/Q202449,David Ogden Stiers
http://www.wikidata.org/entity/Q205456,Theo van Gogh
http://www.wikidata.org/entity/Q209471,Telly Savalas
http://www.wikidata.org/entity/Q211974,Silvio Narizzano
http://www.wikidata.org/entity/Q216221,Steve Carell
http://www.wikidata.org/entity/Q219546,Albert Finney
http://www.wikidata.org/entity/Q223233,Sam Mendes
http://www.wikidata.org/entity/Q223992,Wes Craven
http://www.wikidata.org/entity/Q228792,Dianna Agron
http://www.wikidata.org/entity/Q230203,Amy Poehler
http://www.wikidata.org/entity/Q234544,Regina King
http://www.wikidata.org/entity/Q235287,Amanda Bearse
http://www.wikidata.org/entity/Q237273,Salli Richardson
http://www.wikidata.org/entity/Q237454,Marta Kauffman
http://www.wikidata.org/entity/Q243430,Terence Hill
http://www.wikidata.org/entity/Q248764,Martin Wood
http://www.wikidata.org/entity/Q253632,Martha Holmes
http://www.wikidata.org/entity/Q253977,Roxann Dawson
http://www.wikidata.org/entity/Q254971,Melina Matsoukas
http://www.wikidata.org/entity/Q259979,Cécile Aubry
http://www.wikidata.org/entity/Q267455,John Llewellyn Moxey
http://www.wikidata.org/entity/Q269375,Herschel Daugherty
http://www.wikidata.org/entity/Q270372,Susan Seidelman
