writer	producer	coop
nm0471352	nm0206259	1
nm0471352	nm0358447	2
nm0471352	nm0359438	1
nm0471352	nm0480804	1
nm0471352	nm0609588	3
nm0471352	nm0695643	1
nm0471352	nm1003804	2
nm0471352	nm1847815	2
nm0471352	nm2622401	1
nm0471352	nm4098828	1
nm0471386	nm0063470	1
nm0471386	nm0069072	1
nm0471386	nm0237720	1
nm0471386	nm0472600	1
nm0471386	nm0744985	1
nm0471386	nm1075123	1
nm0471392	nm0004079	1
nm0471392	nm0036896	8
nm0471392	nm0570682	1
nm0471392	nm0825190	1
nm0471392	nm0929955	2
nm0471392	nm0932144	1
nm0471392	nm0946901	3
nm0471392	nm1121990	2
nm0471392	nm1567958	2
nm0471392	nm1928296	1
nm0471392	nm2204043	2
nm0471392	nm2611372	1
nm0471392	nm3053945	1
nm0471392	nm3412809	1
nm0471392	nm3728867	1
nm0471392	nm4163948	1
nm0472190	nm0406220	1
nm0472190	nm0480804	1
nm0472255	nm0011260	1
nm0472255	nm0438279	1
nm0472568	nm0022913	1
nm0472568	nm0313394	1
nm0472568	nm0343523	1
nm0472568	nm0472600	1
nm0472568	nm0543128	2
nm0472568	nm0665494	1
nm0472568	nm0771863	1
nm0472568	nm1020914	1
nm0472568	nm2148402	1
nm0473384	nm0020378	1
nm0473384	nm0158865	2
nm0473384	nm1486961	1
nm0473384	nm2197157	2
nm0475117	nm3346060	1
nm0475799	nm0436048	1
nm0475799	nm0655888	1
nm0476064	nm0026442	1
nm0476064	nm0135235	3
nm0476064	nm0189777	1
nm0476064	nm0589404	1
nm0476064	nm0744130	1
nm0476064	nm0842488	1
nm0476064	nm0870295	1
nm0476064	nm0872823	2
nm0476064	nm0929955	1
nm0476064	nm1063802	2
nm0476064	nm1249071	1
nm0476064	nm2041101	1
nm0476064	nm2489727	1
nm0476378	nm3833885	1
nm0478588	nm0271400	1
nm0478588	nm5270748	1
nm0478852	nm0076987	1
nm0479779	nm0658402	1
nm0479779	nm1038305	3
nm0479952	nm0002532	1
nm0479952	nm0106564	1
nm0480806	nm0003306	1
nm0480806	nm0175473	1
nm0480806	nm0616793	1
nm0480806	nm0929955	1
nm0480806	nm1264807	1
nm0480806	nm3264196	1
nm0483213	nm0108702	1
nm0483520	nm0236776	1
nm0483736	nm0934855	1
nm0484475	nm0271090	1
nm0486405	nm0268266	1
nm0486779	nm0187351	1
nm0486779	nm1469826	1
nm0486780	nm0655888	1
nm0486906	nm0571202	1
nm0486906	nm6138297	1
nm0488484	nm0210686	1
nm0488484	nm0578297	2
nm0488484	nm0946901	1
nm0488858	nm0502824	1
nm0488858	nm0633818	1
nm0488858	nm0943535	1
nm0488991	nm0290735	1
nm0489021	nm0048859	3
nm0489021	nm0299263	2
nm0490394	nm1314213	1
nm0491462	nm0130814	3
nm0491462	nm0702929	1
nm0492639	nm0628180	2
nm0492639	nm0777372	1
nm0492639	nm0825217	1
nm0492639	nm0935631	3
nm0492639	nm1052109	1
nm0493018	nm0001601	1
nm0493018	nm0519140	1
nm0493018	nm0628255	1
nm0493018	nm0658402	2
nm0493018	nm0804759	1
nm0493018	nm0874437	1
nm0493018	nm0887184	1
nm0493018	nm1131421	1
nm0493018	nm1180074	1
nm0493018	nm1332931	1
nm0493086	nm0231235	1
nm0493086	nm0427707	1
nm0493086	nm0932144	1
nm0493086	nm0957670	1
nm0493086	nm2724331	1
nm0493797	nm0994468	1
nm0493855	nm0187351	1
nm0493855	nm0317354	1
nm0493855	nm0539103	1
nm0493855	nm0815432	1
nm0493858	nm0188312	1
nm0493858	nm1342242	1
nm0494983	nm0461799	1
nm0494983	nm0482682	1
nm0496105	nm0242896	1
nm0496105	nm0857146	1
nm0496460	nm0083039	1
nm0496460	nm0736462	1
nm0497556	nm0162722	1
nm0497556	nm3689180	3
nm0497556	nm6045762	1
nm0498424	nm2566002	1
nm0498424	nm2659146	1
nm0498841	nm0353456	1
nm0498841	nm0804759	1
nm0499172	nm0438382	1
nm0499172	nm0875486	1
nm0499852	nm0750313	1
nm0499852	nm0795533	1
nm0499852	nm2381405	1
nm0500329	nm0057463	1
nm0500329	nm0080021	1
nm0500329	nm0114011	3
nm0500329	nm0213928	1
nm0500329	nm0217907	1
nm0500329	nm0450715	1
nm0500329	nm0525831	1
nm0500329	nm0738700	4
nm0500329	nm0741689	1
nm0500329	nm0823068	2
nm0500329	nm2456804	1
nm0501134	nm0371065	1
nm0501134	nm0573035	1
nm0501380	nm0319666	1
nm0501380	nm0380639	1
nm0501890	nm0123083	2
nm0501890	nm0434838	1
nm0501890	nm0578297	1
nm0501890	nm0849980	1
nm0501890	nm1016998	1
nm0501890	nm1188346	2
nm0501890	nm1188358	2
nm0502039	nm0834426	1
nm0502039	nm0944956	1
nm0502039	nm2055027	1
nm0502556	nm0054497	1
nm0502556	nm0066584	1
nm0502556	nm0159073	3
nm0502556	nm0200637	2
nm0502556	nm0235852	1
nm0502556	nm0321334	1
nm0502556	nm0507689	1
nm0502556	nm0705891	1
nm0502556	nm0755287	1
nm0502556	nm0826291	1
nm0502556	nm1171810	3
nm0502837	nm2995222	1
nm0503035	nm0517753	1
nm0503229	nm0343523	1
nm0503229	nm0774019	1
nm0505255	nm0318221	1
nm0505255	nm0434838	1
nm0505255	nm0449189	1
nm0505255	nm0589412	1
nm0505255	nm0826291	1
nm0505276	nm0067285	1
nm0505296	nm0851395	1
nm0505448	nm0048739	1
nm0505448	nm0080021	1
nm0505448	nm0525831	3
nm0505448	nm0541812	1
nm0505448	nm0566320	1
nm0505448	nm0866082	1
nm0505448	nm1072208	1
nm0505448	nm1475461	1
nm0505448	nm3509898	1
nm0505448	nm3637134	1
nm0505448	nm7442628	1
nm0505522	nm0510956	1
nm0505522	nm1069530	1
nm0505522	nm3529149	1
nm0505522	nm3933675	1
nm0505579	nm0525831	1
nm0505588	nm0054703	1
nm0505622	nm0135235	1
nm0505622	nm0335344	1
nm0505622	nm0389972	1
nm0505622	nm0395271	1
nm0505622	nm0576182	1
nm0505622	nm0592535	1
nm0505622	nm1373881	1
nm0505711	nm0164181	2
nm0505711	nm1377990	1
nm0505741	nm2503331	1
nm0505782	nm0665494	1
nm0505782	nm0774019	1
nm0505782	nm1410702	1
nm0505788	nm0011260	1
nm0505788	nm0411469	1
nm0505788	nm0665494	1
nm0505788	nm0752630	1
nm0505788	nm0774019	2
nm0505788	nm0851395	2
nm0505788	nm0907884	1
nm0505788	nm1240229	1
nm0505788	nm1241675	2
nm0505788	nm1410702	1
nm0505934	nm0321334	1
nm0505934	nm0341145	2
nm0505934	nm0458868	2
nm0505934	nm0529175	1
nm0505934	nm0919108	1
nm0506027	nm0027446	1
nm0506027	nm0073706	1
nm0506027	nm0177512	1
nm0506027	nm0321334	1
nm0506027	nm0358447	1
nm0506027	nm0366818	1
nm0506027	nm0543128	1
nm0506027	nm0664176	1
nm0506032	nm0022417	2
nm0506087	nm0926151	1
nm0506094	nm1396043	1
nm0506100	nm0338555	1
nm0506100	nm0400316	1
nm0506100	nm0565200	1
nm0506100	nm0850888	1
nm0506100	nm1275032	2
nm0506100	nm2524227	2
nm0506100	nm5730877	1
nm0506100	nm9256470	1
nm0506160	nm0542658	1
nm0506160	nm0608005	1
nm0506160	nm0950041	6
nm0506160	nm1138177	4
nm0506160	nm3004145	2
nm0506160	nm3099089	1
nm0506160	nm4017620	1
nm0506506	nm0400233	1
nm0506506	nm0603286	1
nm0506506	nm0663764	1
nm0506506	nm1121466	1
nm0506506	nm1121467	1
nm0506712	nm0219983	1
nm0506938	nm0641609	1
nm0507465	nm0555684	1
nm0507465	nm1144729	1
nm0508745	nm2667533	1
nm0509078	nm0074403	1
nm0509078	nm0461799	1
nm0509078	nm0936574	1
nm0509340	nm0022913	1
nm0509340	nm0135235	2
nm0509340	nm0161457	3
nm0509340	nm0321877	1
nm0509340	nm0519140	1
nm0509340	nm0665494	1
nm0509340	nm0671656	1
nm0509340	nm0865212	1
nm0509340	nm1425889	1
nm0509340	nm2148402	1
nm0509425	nm0048859	1
nm0510450	nm0919043	1
nm0511541	nm0076987	1
nm0511541	nm0089572	1
nm0511541	nm0135235	2
nm0511541	nm0161457	3
nm0511541	nm0188238	1
nm0511541	nm0321877	1
nm0511541	nm0476569	2
nm0511541	nm0548410	1
nm0511541	nm0695643	1
nm0511541	nm0736307	1
nm0511541	nm1003804	1
nm0512894	nm0926151	1
nm0513170	nm0073706	1
nm0513170	nm0688789	1
nm0513170	nm0901130	1
nm0513486	nm0665494	1
nm0513486	nm0808465	1
nm0513486	nm1236670	1
nm0513500	nm0002349	1
nm0513500	nm0387920	5
nm0513658	nm0000776	1
nm0513658	nm0325180	1
nm0513658	nm0430710	1
nm0513658	nm0548299	1
nm0513658	nm0575151	1
nm0513658	nm0578297	1
nm0513658	nm0695219	1
nm0513658	nm7162046	3
nm0513766	nm0161558	2
nm0513766	nm0217907	1
nm0513766	nm0277830	2
nm0513766	nm0326506	1
nm0513766	nm0738700	1
nm0514011	nm0003306	1
nm0514011	nm0220049	1
nm0514011	nm0410226	1
nm0514011	nm0543128	1
nm0514011	nm0650346	1
nm0514011	nm0664176	2
nm0514011	nm0774802	1
nm0514011	nm0920318	1
nm0514011	nm1140110	4
nm0514011	nm1474176	1
nm0514011	nm8516120	2
nm0514199	nm0071299	1
nm0514199	nm0561802	1
nm0514199	nm3152781	1
nm0514735	nm0058454	1
nm0514735	nm0851395	2
nm0514735	nm2064480	1
nm0514778	nm0153737	1
nm0514778	nm0283509	1
nm0514778	nm0730282	1
nm0515941	nm0542658	1
nm0515941	nm0608005	1
nm0515941	nm0950041	6
nm0515941	nm1138177	4
nm0515941	nm3004145	2
nm0515941	nm3099089	1
nm0515941	nm4017620	1
nm0516141	nm0950041	2
nm0516141	nm1138177	1
nm0517188	nm0159253	1
nm0517188	nm1847815	1
nm0517418	nm0004079	1
nm0517418	nm0036896	5
nm0517418	nm0825190	1
nm0517465	nm0725147	1
nm0517589	nm0283478	3
nm0517589	nm0387920	2
nm0517589	nm0642789	2
nm0518366	nm0658402	1
nm0518836	nm1232664	1
nm0519133	nm0271090	1
nm0519803	nm0223209	3
nm0519803	nm0420246	1
nm0521143	nm0171945	1
nm0521143	nm0270966	1
nm0521143	nm0497661	1
nm0521454	nm0103416	1
nm0521454	nm1672371	1
nm0523299	nm0081960	1
nm0523299	nm0332503	1
nm0523299	nm0851395	3
nm0523299	nm1106288	2
nm0523299	nm1241675	1
nm0524095	nm1495637	1
nm0527109	nm0281019	1
nm0527109	nm0774019	1
nm0527109	nm0818657	1
nm0527160	nm2584711	1
nm0527160	nm2925679	1
nm0527160	nm3222555	1
nm0527588	nm0425717	1
nm0528480	nm0358935	1
nm0528480	nm0478459	1
nm0528480	nm0827248	1
nm0528480	nm0837385	1
nm0528720	nm0879245	1
nm0529128	nm0324960	1
nm0529128	nm0427707	1
nm0531973	nm0289324	1
nm0531973	nm0518791	1
nm0531973	nm0602842	1
nm0531973	nm0700081	1
nm0531973	nm0931881	1
nm0532467	nm0003945	1
nm0532467	nm1320290	1
nm0532467	nm2253593	1
nm0532530	nm0101695	1
nm0532828	nm4042467	1
nm0533582	nm0357371	1
nm0533853	nm0387920	4
nm0533853	nm1865616	1
nm0533976	nm0003183	1
nm0534352	nm0827151	1
nm0534378	nm2748676	1
nm0534639	nm0901880	1
nm0534639	nm3152781	1
nm0534731	nm0146529	1
nm0534731	nm0705022	1
nm0535348	nm0152640	1
nm0535348	nm0341028	1
nm0535348	nm0343239	2
nm0535348	nm0665494	1
nm0535348	nm1703778	1
nm0535348	nm2148402	1
nm0535940	nm0008823	1
nm0535940	nm0592535	1
nm0535940	nm0671656	1
nm0535940	nm0925441	2
nm0537542	nm0200637	2
nm0537885	nm0507689	1
nm0539719	nm0994848	1
nm0539820	nm0514379	1
nm0539820	nm0699276	1
nm0540468	nm0217907	1
nm0541514	nm0994468	1
nm0542304	nm0400233	1
nm0542328	nm0410226	1
nm0542493	nm0589738	2
nm0542493	nm0699114	1
nm0542493	nm0935298	1
nm0542535	nm0137639	1
nm0542535	nm0313394	1
nm0542535	nm0326177	1
nm0542535	nm0373812	1
nm0542535	nm0576182	1
nm0542535	nm0616793	1
nm0542535	nm0700463	2
nm0542535	nm0745304	1
nm0542535	nm0774019	1
nm0542535	nm0932144	1
nm0542535	nm5966976	1
nm0542535	nm7990826	1
nm0542642	nm0220049	1
nm0542960	nm0321270	1
nm0543362	nm0521753	1
nm0543362	nm0539103	1
nm0543362	nm0589738	1
nm0543362	nm0815432	1
nm0543362	nm0935298	1
nm0543612	nm0084034	1
nm0543612	nm0507689	7
nm0543906	nm0137639	1
nm0543906	nm0373812	1
nm0543906	nm0700463	1
nm0543911	nm0003636	1
nm0543911	nm0137639	1
nm0543911	nm0146529	1
nm0543911	nm0373812	1
nm0543911	nm0616793	1
nm0543911	nm0665494	1
nm0543911	nm0700463	1
nm0543911	nm0819613	1
nm0543911	nm1639580	1
nm0543919	nm0232131	1
nm0543919	nm0714851	2
nm0543919	nm1243077	1
nm0543919	nm3029737	2
nm0543967	nm0103786	1
nm0543967	nm0894916	1
nm0544595	nm0182724	1
nm0544595	nm0313394	2
nm0544595	nm0573872	3
nm0544595	nm0851395	1
nm0544595	nm1027122	1
nm0544595	nm1106288	1
nm0544595	nm1865616	1
nm0544595	nm1981183	1
nm0545150	nm0654024	1
nm0545387	nm0879245	1
nm0545641	nm0485130	1
nm0548221	nm0363599	1
nm0548221	nm0447942	1
nm0548221	nm1061992	1
nm0548719	nm0083039	1
nm0548719	nm0490868	1
nm0548719	nm0832263	2
nm0549256	nm0012182	1
nm0549256	nm0341952	8
nm0549256	nm0434877	5
nm0549256	nm1548657	1
nm0550158	nm0140764	1
nm0550158	nm0270966	1
nm0550158	nm0416341	1
nm0550158	nm0564768	1
nm0550158	nm2140990	1
nm0550158	nm2458231	2
nm0551167	nm1038305	1
nm0551861	nm4518259	2
nm0551892	nm0123083	1
nm0551892	nm0357371	1
nm0552588	nm0024386	1
nm0552588	nm0057463	1
nm0552588	nm0114011	5
nm0552588	nm0122693	1
nm0552588	nm0200637	1
nm0552588	nm0213928	1
nm0552588	nm0217907	2
nm0552588	nm0525785	1
nm0552588	nm0823068	1
nm0552588	nm0921625	1
nm0552588	nm1245501	1
nm0552588	nm1868284	1
nm0552588	nm1930215	1
nm0552588	nm2456804	1
nm0552588	nm4092295	1
nm0552624	nm0159073	3
nm0552624	nm0755287	1
nm0552624	nm0919108	2
nm0552624	nm1171810	1
nm0552624	nm2245755	2
nm0553104	nm0620743	1
nm0553308	nm0649715	1
nm0553796	nm0894916	1
nm0553855	nm0894916	1
nm0555354	nm2194733	1
nm0556435	nm0103786	1
nm0556435	nm0187351	1
nm0556435	nm0279092	2
nm0556435	nm0317354	4
nm0556435	nm0826291	1
nm0556435	nm0861638	1
nm0556435	nm0872658	2
nm0556435	nm0894916	1
nm0556435	nm0899555	4
nm0556435	nm2232862	1
nm0557270	nm0076987	1
nm0557270	nm0665494	1
nm0557270	nm0710787	1
nm0557895	nm0710662	1
nm0558243	nm0106842	1
nm0558243	nm4074024	1
nm0558243	nm4216345	1
nm0560033	nm0044803	2
nm0560033	nm0100152	1
nm0561978	nm0152113	1
nm0561978	nm0748934	3
nm0561978	nm1721362	1
nm0561978	nm2049577	1
nm0563301	nm1700029	1
nm0564016	nm0589738	1
nm0564497	nm0363599	1
nm0564497	nm0386832	1
nm0564497	nm0850696	1
nm0564604	nm1016846	1
nm0564664	nm0732472	1
nm0564664	nm0796928	1
nm0564827	nm0362986	1
nm0565220	nm0085183	2
nm0565220	nm0224769	2
nm0565220	nm0395271	1
nm0565220	nm0541703	1
nm0565220	nm0548932	1
nm0565220	nm0567166	1
nm0565220	nm0576182	1
nm0565220	nm0696528	3
nm0565220	nm1557867	1
nm0565220	nm1644576	1
nm0565336	nm1063802	1
nm0565611	nm0358935	1
nm0566503	nm0570877	1
nm0566552	nm0074403	1
nm0566552	nm0283234	1
nm0566552	nm0695643	1
nm0566552	nm0833403	1
nm0566552	nm1003804	1
nm0566552	nm1718067	1
nm0566972	nm0003557	1
nm0566972	nm0057463	4
nm0566972	nm0194961	1
nm0566972	nm0213928	5
nm0566972	nm0277830	1
nm0566972	nm0493778	1
nm0566972	nm0587508	1
nm0566972	nm5606221	1
nm0566998	nm0358935	4
nm0566998	nm0932144	1
nm0566998	nm1038305	2
nm0566998	nm3934099	1
nm0567228	nm1267470	1
nm0567228	nm8709413	2
nm0567228	nm9481892	1
nm0569130	nm0187351	1
nm0569130	nm0957670	1
nm0569130	nm7707183	1
nm0569210	nm0353456	1
nm0569210	nm0385426	1
nm0569210	nm0644749	1
nm0569210	nm0765956	1
nm0569838	nm0732053	2
nm0569838	nm1329342	2
nm0570928	nm0684461	1
nm0570928	nm1667159	1
nm0571113	nm0079542	1
nm0571341	nm0518791	1
nm0571346	nm0057106	1
nm0571706	nm0137075	1
nm0571964	nm0475960	1
nm0571964	nm0806155	1
nm0571964	nm0842298	1
nm0571964	nm2381398	2
nm0572295	nm0795533	1
nm0572352	nm0146529	1
nm0572352	nm0543128	1
nm0572352	nm0818657	1
nm0572982	nm0589404	1
nm0572982	nm0744130	1
nm0573185	nm0299263	1
nm0573336	nm0022913	1
nm0573336	nm0438430	1
nm0573336	nm1819732	1
nm0573336	nm8007431	1
nm0573429	nm0654024	1
nm0573652	nm1270350	1
nm0573695	nm0004475	2
nm0573695	nm0128147	3
nm0573695	nm0247699	1
nm0573695	nm0295046	1
nm0573695	nm0328738	2
nm0573695	nm0825190	1
nm0573695	nm1027122	1
nm0573732	nm0483091	3
nm0573732	nm0581676	1
nm0573732	nm0771022	1
nm0573732	nm1340224	2
nm0573732	nm1444455	1
nm0574509	nm0107331	1
nm0577334	nm0073081	1
nm0577334	nm0319685	1
nm0577334	nm0489539	1
nm0577334	nm0825190	1
nm0577334	nm2541151	1
nm0578177	nm0467513	1
nm0578536	nm0135235	1
nm0578536	nm0194961	1
nm0578771	nm0325180	1
nm0578771	nm0548299	1
nm0578771	nm0575151	1
nm0578856	nm0003557	1
nm0578856	nm0003880	2
nm0578856	nm0004055	3
nm0578856	nm0047458	3
nm0578856	nm0152640	2
nm0578856	nm0161558	1
nm0578856	nm0242896	1
nm0578856	nm0270966	3
nm0578856	nm0277830	3
nm0578856	nm0326506	2
nm0578856	nm0376212	3
nm0578856	nm0482794	1
nm0578856	nm0587508	2
nm0578856	nm0697708	3
nm0578856	nm0800358	1
nm0578856	nm0850386	4
nm0578856	nm0931881	1
nm0578856	nm10069934	1
nm0578856	nm1431939	1
nm0578856	nm2038407	1
nm0578856	nm2041101	1
nm0578856	nm2140990	1
nm0579775	nm0664176	1
nm0580166	nm0587571	1
nm0580334	nm0197161	1
nm0580334	nm0476600	1
nm0580559	nm0563930	1
nm0581224	nm0079542	1
nm0581613	nm0456631	3
nm0582396	nm0401205	1
nm0582396	nm1063802	1
nm0583037	nm0054703	1
nm0583264	nm0450715	1
nm0583264	nm0738700	4
nm0583264	nm0998318	1
nm0583292	nm0077071	1
nm0583397	nm0496556	1
nm0583397	nm0932144	2
nm0583404	nm0220049	1
nm0583514	nm0069072	3
nm0583514	nm0237720	3
nm0583514	nm0242896	2
nm0585243	nm0324960	1
nm0585319	nm0306794	1
nm0585319	nm0482682	1
nm0585319	nm0834426	1
nm0585319	nm0859808	1
nm0585319	nm1700029	1
nm0585319	nm3131414	1
nm0585344	nm0090672	1
nm0585344	nm0861942	1
nm0585344	nm2381398	1
nm0586922	nm0919790	2
nm0586922	nm0946901	1
nm0586922	nm1928296	1
nm0586965	nm0076987	1
nm0586965	nm0080601	1
nm0586965	nm0220049	2
nm0586965	nm0307024	1
nm0586965	nm0346550	1
nm0586965	nm0566352	1
nm0586965	nm0671992	1
nm0586965	nm0827151	1
nm0586965	nm1061992	3
nm0586965	nm1949279	2
nm0587283	nm0485124	1
nm0587283	nm0877875	1
nm0587283	nm1721340	1
nm0587494	nm0069072	7
nm0587494	nm0237720	1
nm0587494	nm0876590	2
nm0587494	nm1048942	1
nm0587494	nm2266269	3
nm0587518	nm0518791	1
nm0587518	nm0602842	1
nm0587518	nm0700081	1
nm0587692	nm0101834	1
nm0587692	nm0155536	1
nm0587692	nm0283478	2
nm0587692	nm0387739	1
nm0587692	nm0473317	1
nm0587692	nm0937714	1
nm0587692	nm4862609	1
nm0587884	nm0545436	1
nm0587884	nm1714211	1
nm0587905	nm0103786	1
nm0587905	nm0279092	1
nm0587905	nm0894916	1
nm0587905	nm2232862	1
nm0588005	nm0313394	1
nm0588005	nm0319685	1
nm0588005	nm0371393	1
nm0588005	nm0438279	1
nm0588005	nm0527167	1
nm0588005	nm0678336	1
nm0588005	nm0817831	2
nm0588005	nm0865212	1
nm0588005	nm0919790	2
nm0588005	nm1270350	1
nm0588005	nm1936920	1
nm0588005	nm2027168	1
nm0588005	nm2118749	1
nm0588005	nm6460667	1
nm0588128	nm0004055	1
nm0588128	nm0343523	1
nm0588128	nm0644872	1
nm0588128	nm0850386	2
nm0588128	nm0918666	3
nm0588128	nm1396043	1
nm0588375	nm0016403	1
nm0588375	nm0156291	1
nm0588375	nm0795533	1
nm0588536	nm0738700	1
nm0588679	nm0934046	1
nm0588679	nm1776772	1
nm0588679	nm3271757	1
nm0588936	nm0548932	1
nm0588936	nm0703729	1
nm0588936	nm0765956	2
nm0588936	nm2109010	1
nm0589043	nm0411469	1
nm0589043	nm0752630	1
nm0589043	nm0851395	2
nm0589043	nm1240229	1
nm0589043	nm1241675	2
nm0589390	nm0658409	1
nm0589390	nm1405504	1
nm0589390	nm1673906	1
nm0589390	nm1704951	1
nm0589390	nm2551468	1
nm0589410	nm0341952	6
nm0589410	nm0434877	2
nm0589410	nm1548657	1
nm0589957	nm0129135	1
nm0589957	nm0467513	1
nm0589957	nm0861769	1
nm0591101	nm0408417	1
nm0591101	nm0543128	1
nm0591101	nm0904201	1
nm0591101	nm0929955	1
nm0591101	nm1278270	2
nm0591101	nm1558784	2
nm0591101	nm2554297	2
nm0591101	nm3657135	1
nm0591517	nm0691540	2
nm0591517	nm1657743	1
nm0591517	nm2448723	1
nm0591517	nm2649171	1
nm0591673	nm0200637	2
nm0592254	nm0217907	1
nm0592254	nm0458318	1
nm0592254	nm0721019	2
nm0592254	nm1241675	2
nm0592969	nm0083039	1
nm0592969	nm0490868	1
nm0592969	nm0736462	1
nm0593749	nm0223209	1
nm0593749	nm0459425	1
nm0593749	nm0467200	1
nm0593749	nm0536841	1
nm0593749	nm1006158	1
nm0593749	nm1332931	1
nm0595209	nm0874437	1
nm0595209	nm2635129	1
nm0595590	nm0509898	1
nm0595590	nm0895056	4
nm0595913	nm0496556	2
nm0596201	nm0313514	1
nm0596201	nm0555684	1
nm0596201	nm1064127	1
nm0596429	nm1545605	1
nm0596711	nm0213928	2
nm0596711	nm0504716	2
nm0596711	nm0652330	1
nm0596711	nm0761093	1
nm0596711	nm0765956	2
nm0596711	nm0886628	1
nm0596711	nm1278270	1
nm0597443	nm0434838	2
nm0597443	nm0588576	2
nm0597443	nm1313994	1
nm0597521	nm0358935	1
nm0597521	nm0687254	1
nm0598996	nm0358935	3
nm0598996	nm0366793	1
nm0598996	nm0555684	1
nm0598996	nm0818503	1
nm0598996	nm1016998	1
nm0598996	nm1479574	1
nm0599088	nm0873104	1
nm0599088	nm2175494	1
nm0600132	nm0240794	2
nm0600132	nm0282165	1
nm0600132	nm0370405	1
nm0600132	nm0709398	1
nm0600132	nm1003823	1
nm0600132	nm1188251	1
nm0600872	nm1418292	1
nm0601822	nm0073766	2
nm0601822	nm0081960	1
nm0601822	nm0113362	3
nm0601822	nm0188312	1
nm0601822	nm0189913	1
nm0601822	nm0195464	1
nm0601822	nm0290735	5
nm0601822	nm0294195	2
nm0601822	nm0313394	1
nm0601822	nm0464794	1
nm0601822	nm0641179	1
nm0601822	nm0753382	1
nm0601822	nm3833881	1
nm0601826	nm0436048	1
nm0601826	nm0655888	1
nm0601901	nm0832263	1
nm0602981	nm0069072	2
nm0602981	nm0076987	1
nm0602981	nm0237720	2
nm0602981	nm0242896	1
nm0602981	nm0395924	1
nm0602981	nm0438309	3
nm0602981	nm0438432	1
nm0602981	nm0514445	1
nm0602981	nm0576182	3
nm0602981	nm3838484	1
nm0603867	nm0069072	2
nm0603867	nm0194961	1
nm0603867	nm0237720	1
nm0603867	nm0539103	2
nm0603867	nm0588612	1
nm0603867	nm0615818	1
nm0603867	nm0663197	1
nm0603867	nm0815432	2
nm0603867	nm0833403	1
nm0603867	nm0936574	1
nm0603867	nm2156926	1
nm0604263	nm0081960	1
nm0604263	nm0959567	1
nm0604448	nm0245493	1
nm0604555	nm0341516	1
nm0604587	nm0543128	1
nm0604688	nm0004447	1
nm0604688	nm0135235	1
nm0604688	nm0543128	1
nm0604948	nm0247787	2
nm0604948	nm0365748	1
nm0604948	nm1358793	2
nm0604948	nm1952700	1
nm0606313	nm0011260	1
nm0606313	nm0134279	1
nm0606313	nm0522160	1
nm0606313	nm0665494	1
nm0606313	nm0940016	1
nm0607725	nm0485130	1
nm0607725	nm0756107	1
nm0607725	nm0851395	1
nm0608790	nm0002349	2
nm0608790	nm0069072	4
nm0608790	nm0168755	2
nm0608790	nm0237720	3
nm0608790	nm0242896	2
nm0608790	nm0774019	1
nm0608790	nm0914740	1
nm0608790	nm0915748	1
nm0608790	nm1092388	1
nm0609315	nm0589404	1
nm0609315	nm0839660	1
nm0609315	nm0934855	3
nm0609315	nm1084723	1
nm0609315	nm1116536	1
nm0609315	nm1514487	1
nm0612330	nm0067285	1
nm0612330	nm3787633	1
nm0612501	nm0048859	3
nm0612501	nm0299263	2
nm0612501	nm0582188	2
nm0612768	nm0001513	1
nm0612768	nm0003636	1
nm0612768	nm0006552	1
nm0612768	nm0140764	3
nm0612768	nm0168747	2
nm0612768	nm0341516	1
nm0612768	nm0449957	1
nm0612768	nm0548410	1
nm0612768	nm1639580	1
nm0612855	nm0736795	1
nm0612855	nm2584711	1
nm0612855	nm5148534	1
nm0612855	nm9040465	1
nm0612855	nm9040466	1
nm0613271	nm0475970	1
nm0613271	nm1964668	1
nm0614050	nm0644872	2
nm0614050	nm0918666	3
nm0614371	nm0353456	1
nm0614371	nm1334075	1
nm0614682	nm0044803	2
nm0614682	nm0215973	1
nm0614682	nm0264248	4
nm0614682	nm0341145	2
nm0614682	nm0408417	1
nm0614682	nm0443040	1
nm0614682	nm0458868	2
nm0614682	nm0472477	3
nm0614682	nm0571202	2
nm0614682	nm0799047	2
nm0614682	nm0904201	2
nm0614682	nm0918657	2
nm0614682	nm0919108	1
nm0614682	nm0929955	2
nm0614682	nm1558784	9
nm0614682	nm1692438	1
nm0614682	nm2153315	2
nm0614682	nm2554297	3
nm0614682	nm3657135	1
nm0614693	nm0543128	1
nm0614880	nm0140764	1
nm0614880	nm0278129	1
nm0614880	nm0319685	1
nm0614880	nm0341952	1
nm0614880	nm0363599	1
nm0614880	nm0664176	3
nm0614880	nm0944956	2
nm0614880	nm1703778	1
nm0615086	nm0022424	5
nm0615086	nm0022425	1
nm0615086	nm0585990	1
nm0615086	nm0745575	2
nm0615086	nm1007419	1
nm0615086	nm1144897	2
nm0615086	nm1205153	1
nm0615086	nm1210756	3
nm0615086	nm1519343	2
nm0615086	nm3746096	1
nm0615373	nm0358935	2
nm0616589	nm0358935	1
nm0616589	nm0827248	1
nm0616589	nm0957670	1
nm0616589	nm1147563	1
nm0616685	nm0013918	1
nm0616685	nm0363599	1
nm0616712	nm1305228	1
nm0616797	nm1314063	1
nm0618675	nm0096897	1
nm0618680	nm0111391	1
nm0618680	nm0543128	1
nm0618680	nm2248886	1
nm0619361	nm0326177	1
nm0619361	nm0686889	1
nm0619361	nm0755816	1
nm0619361	nm0918666	1
