writer	producer	coop
nm0006997	nm0047458	2
nm0006997	nm0189777	1
nm0006997	nm0406220	1
nm0006997	nm2041101	1
nm0006997	nm2640743	1
nm0006997	nm3428652	2
nm0007029	nm0376212	2
nm0007029	nm0408417	1
nm0007029	nm1431939	1
nm0007029	nm2038407	1
nm0007029	nm5484242	1
nm0007091	nm0200637	1
nm0007091	nm0381868	1
nm0007091	nm0385426	1
nm0007091	nm0398851	1
nm0007091	nm1376081	1
nm0007091	nm2109010	1
nm0007091	nm2636898	1
nm0007158	nm0040957	1
nm0007233	nm0343379	1
nm0007233	nm0548741	1
nm0007832	nm0805480	2
nm0007832	nm4867712	2
nm0008003	nm0750313	1
nm0008003	nm2381405	1
nm0008036	nm0081960	1
nm0008036	nm0135359	1
nm0008036	nm0386832	1
nm0008036	nm0479735	1
nm0008036	nm0572633	2
nm0008036	nm1140110	5
nm0008036	nm2743157	1
nm0008036	nm3558363	2
nm0008036	nm8516120	2
nm0008053	nm0076006	1
nm0008053	nm0665798	1
nm0008743	nm0099002	1
nm0008743	nm0851740	1
nm0009145	nm0481276	1
nm0009178	nm0007096	1
nm0009178	nm0240794	1
nm0009178	nm0401205	1
nm0009178	nm0658402	1
nm0009178	nm1131421	1
nm0009178	nm2186058	1
nm0009190	nm0026442	1
nm0009190	nm0135235	7
nm0009190	nm0161457	3
nm0009190	nm0221026	1
nm0009190	nm0321877	1
nm0009190	nm0395271	1
nm0009190	nm0576182	1
nm0009190	nm0767269	1
nm0009190	nm0842488	1
nm0009190	nm0870295	1
nm0009190	nm0872823	2
nm0009190	nm0929955	4
nm0009190	nm1063802	2
nm0009190	nm1206844	1
nm0009190	nm2489727	1
nm0009921	nm0036896	1
nm0010004	nm0857714	3
nm0011814	nm0873104	1
nm0011814	nm2175494	1
nm0011882	nm0313394	1
nm0011882	nm0501904	1
nm0011882	nm0519140	2
nm0011882	nm0609355	1
nm0011882	nm1158138	1
nm0011925	nm0210686	2
nm0011925	nm0283509	1
nm0011925	nm0325180	1
nm0011925	nm0575151	1
nm0011925	nm0730282	1
nm0011925	nm1006153	2
nm0012100	nm0002494	1
nm0012100	nm0381868	1
nm0012100	nm0548932	2
nm0012100	nm0818657	1
nm0012289	nm0076987	1
nm0012289	nm0096897	1
nm0012289	nm0671992	1
nm0013235	nm1364530	1
nm0013583	nm0159009	1
nm0013583	nm0270966	1
nm0013928	nm0795533	1
nm0015327	nm0081960	1
nm0015327	nm0240794	2
nm0015327	nm0282165	1
nm0015327	nm0370405	1
nm0015327	nm0709398	1
nm0015327	nm1003823	1
nm0015327	nm1188251	3
nm0015328	nm0316887	1
nm0015328	nm0501728	1
nm0015328	nm0922322	1
nm0016279	nm0658402	1
nm0016279	nm1038305	3
nm0018291	nm0502735	1
nm0018504	nm0076353	1
nm0018504	nm0135235	3
nm0018504	nm0459192	1
nm0018504	nm0767269	1
nm0018504	nm0872823	2
nm0018504	nm0929955	1
nm0018504	nm1206844	1
nm0018504	nm3089062	1
nm0018735	nm0000237	1
nm0018735	nm1558784	1
nm0018785	nm0004475	1
nm0020334	nm1742559	1
nm0020334	nm3216749	1
nm0020334	nm3605609	1
nm0020334	nm7038578	1
nm0020334	nm7038579	1
nm0020334	nm7038581	1
nm0020334	nm7038582	1
nm0020334	nm8423688	1
nm0022935	nm0057896	1
nm0022935	nm1222066	1
nm0022935	nm1928189	1
nm0022935	nm3250348	1
nm0023371	nm0491126	1
nm0023371	nm0629575	1
nm0023897	nm0008823	1
nm0023897	nm0012182	1
nm0023897	nm0109502	2
nm0023897	nm0341952	2
nm0023897	nm0434877	1
nm0023897	nm0695643	1
nm0023897	nm0705022	1
nm0023897	nm0795288	1
nm0023897	nm0840239	1
nm0023897	nm0886628	1
nm0023897	nm0923571	1
nm0023897	nm0925441	2
nm0023897	nm1003804	1
