item,itemLabel
http://www.wikidata.org/entity/Q211283,Bob Hoskins
http://www.wikidata.org/entity/Q211322,Tom Wilkinson
http://www.wikidata.org/entity/Q211696,Keith Moon
http://www.wikidata.org/entity/Q267772,Garry Chalk
http://www.wikidata.org/entity/Q267976,Lysette Anthony
http://www.wikidata.org/entity/Q268244,Charlotte Lewis
http://www.wikidata.org/entity/Q268271,Vanessa Angel
http://www.wikidata.org/entity/Q268436,Angelica Mandy
http://www.wikidata.org/entity/Q268840,Sally Potter
http://www.wikidata.org/entity/Q268940,Lou Doillon
http://www.wikidata.org/entity/Q269153,Kay Kendall
http://www.wikidata.org/entity/Q269202,Margaret Lockwood
http://www.wikidata.org/entity/Q269309,Talulah Riley
http://www.wikidata.org/entity/Q269713,Angela Scoular
http://www.wikidata.org/entity/Q269835,Eileen Atkins
http://www.wikidata.org/entity/Q269872,Virginia McKenna
http://www.wikidata.org/entity/Q269900,Camilla Luddington
http://www.wikidata.org/entity/Q270049,Anna Massey
http://www.wikidata.org/entity/Q270951,Alsou
http://www.wikidata.org/entity/Q271038,Tamzin Merchant
http://www.wikidata.org/entity/Q211831,David Suchet
http://www.wikidata.org/entity/Q212006,Rosie Huntington-Whiteley
http://www.wikidata.org/entity/Q212416,Michael Byrne
http://www.wikidata.org/entity/Q212772,Cheryl Cole
http://www.wikidata.org/entity/Q212790,David Thewlis
http://www.wikidata.org/entity/Q213257,Emilia Fox
http://www.wikidata.org/entity/Q214309,Sam Neill
http://www.wikidata.org/entity/Q215017,Rhys Ifans
http://www.wikidata.org/entity/Q216179,Bryan Ferry
http://www.wikidata.org/entity/Q217280,Joss Stone
http://www.wikidata.org/entity/Q218245,Siwan Morris
http://www.wikidata.org/entity/Q219655,Carey Mulligan
http://www.wikidata.org/entity/Q219878,Emma Bunton
http://www.wikidata.org/entity/Q220351,Zoot Money
http://www.wikidata.org/entity/Q221289,Engelbert
http://www.wikidata.org/entity/Q223741,Brian Molko
http://www.wikidata.org/entity/Q223745,Guy Pearce
http://www.wikidata.org/entity/Q223790,Joseph Fiennes
http://www.wikidata.org/entity/Q223985,Michael Palin
http://www.wikidata.org/entity/Q224739,Eunice Gayson
http://www.wikidata.org/entity/Q225509,Susannah York
http://www.wikidata.org/entity/Q227127,Zoë Nathenson
http://www.wikidata.org/entity/Q227574,Zubin Varla
http://www.wikidata.org/entity/Q228747,Julie Walters
http://www.wikidata.org/entity/Q228789,Lena Headey
http://www.wikidata.org/entity/Q228795,Zuleikha Robinson
http://www.wikidata.org/entity/Q228875,Georgie Henley
http://www.wikidata.org/entity/Q228901,P. L. Travers
http://www.wikidata.org/entity/Q229029,Thandie Newton
http://www.wikidata.org/entity/Q229056,Minnie Driver
http://www.wikidata.org/entity/Q229108,Anna Popplewell
http://www.wikidata.org/entity/Q229156,Sophia Myles
http://www.wikidata.org/entity/Q229184,Lily Collins
http://www.wikidata.org/entity/Q229207,Amanda Tapping
http://www.wikidata.org/entity/Q229237,Natascha McElhone
http://www.wikidata.org/entity/Q229241,Miranda Richardson
http://www.wikidata.org/entity/Q229330,Vera Lynn
http://www.wikidata.org/entity/Q229440,Nicollette Sheridan
http://www.wikidata.org/entity/Q229442,Twiggy
http://www.wikidata.org/entity/Q229535,Emily Watson
http://www.wikidata.org/entity/Q229651,Kaya Scodelario
http://www.wikidata.org/entity/Q229716,Lulu
http://www.wikidata.org/entity/Q229760,Rita Ora
http://www.wikidata.org/entity/Q229920,Patsy Kensit
http://www.wikidata.org/entity/Q229952,Brenda Blethyn
http://www.wikidata.org/entity/Q230004,Rosamund Pike
http://www.wikidata.org/entity/Q230035,Joan Plowright
http://www.wikidata.org/entity/Q230115,Sonya Walger
http://www.wikidata.org/entity/Q230190,Samantha Morton
http://www.wikidata.org/entity/Q230308,Emily Mortimer
http://www.wikidata.org/entity/Q230504,Rhona Mitra
http://www.wikidata.org/entity/Q230534,Rebecca Hall
http://www.wikidata.org/entity/Q230622,Estelle Swaray
http://www.wikidata.org/entity/Q230626,Wendy Hiller
http://www.wikidata.org/entity/Q230636,Geraldine Chaplin
http://www.wikidata.org/entity/Q230939,Catherine Bell
http://www.wikidata.org/entity/Q230958,Merle Oberon
http://www.wikidata.org/entity/Q231041,Layla El
http://www.wikidata.org/entity/Q231086,Hannah Murray
http://www.wikidata.org/entity/Q231163,Olivia Williams
http://www.wikidata.org/entity/Q231182,Kelly Osbourne
http://www.wikidata.org/entity/Q231187,Sarah Miles
http://www.wikidata.org/entity/Q231207,Charlotte Church
http://www.wikidata.org/entity/Q231237,Karen Gillan
http://www.wikidata.org/entity/Q231310,Helen McCrory
http://www.wikidata.org/entity/Q231385,Samantha Eggar
http://www.wikidata.org/entity/Q231450,Rebecca Mader
http://www.wikidata.org/entity/Q232163,Natalia Tena
http://www.wikidata.org/entity/Q232187,Alex Kingston
http://www.wikidata.org/entity/Q232292,Janet McTeer
http://www.wikidata.org/entity/Q232371,Lucy Gordon
http://www.wikidata.org/entity/Q232410,Marsha Thomason
http://www.wikidata.org/entity/Q232477,Jacqueline Bisset
http://www.wikidata.org/entity/Q232757,Gabrielle Anwar
