writer	producer	coop	genderUncategorized_w	genderUncategorized_p
nm0001465	nm0475960	1	False	False
nm0001486	nm0741689	1	False	False
nm0001493	nm0040957	1	False	False
nm0001493	nm0357371	1	False	False
nm0001493	nm0679915	1	False	False
nm0001741	nm0257159	1	False	False
nm0001741	nm0887184	1	False	False
nm0001873	nm0272605	1	False	False
nm0001880	nm0347958	1	False	False
nm0001880	nm0678050	1	False	False
nm0001880	nm0796848	1	False	False
nm0001885	nm0002638	1	False	False
nm0001921	nm0162722	1	False	False
nm0001921	nm0929829	1	False	False
nm0002041	nm0257159	1	False	False
nm0002041	nm0887184	1	False	False
nm0002376	nm1308615	1	False	False
nm0002417	nm1070915	1	False	False
nm0002417	nm7990826	1	False	False
nm0002526	nm0330430	1	False	False
nm0002704	nm0223209	2	False	False
nm0002704	nm2565870	1	False	False
nm0002718	nm0510956	1	False	False
nm0002718	nm1069530	1	False	False
nm0002718	nm3529149	1	False	False
nm0002718	nm3933675	1	False	False
nm0002749	nm0416341	1	False	False
nm0002749	nm0753251	1	False	False
nm0002787	nm0040957	1	False	False
nm0002932	nm0008823	1	False	False
nm0002932	nm0012182	1	False	False
nm0002932	nm0066548	1	False	False
nm0002932	nm0168655	2	False	False
nm0002932	nm0341028	1	False	False
nm0002932	nm0389972	2	False	False
nm0002932	nm0592535	1	False	False
nm0002932	nm0632871	1	False	False
nm0002932	nm0795288	1	False	False
nm0002932	nm0886628	1	False	False
nm0002932	nm0925441	3	False	False
nm0002932	nm1027122	1	False	False
nm0002932	nm3319782	1	False	False
nm0002973	nm0595038	1	False	False
nm0003021	nm0119946	1	False	False
nm0003021	nm0133150	1	False	False
nm0003160	nm0004475	1	False	False
nm0003160	nm0639681	1	False	False
nm0003160	nm0999931	1	False	False
nm0003160	nm4020371	1	False	False
nm0003298	nm0002472	1	False	False
nm0003298	nm0475970	1	False	False
nm0003298	nm0556163	1	False	False
nm0003298	nm0654024	1	False	False
nm0003535	nm0040957	3	False	False
nm0003535	nm0522160	1	False	False
nm0003535	nm0704621	1	False	False
nm0003535	nm0857714	1	False	False
nm0003535	nm0940016	1	False	False
nm0003588	nm0589404	1	False	False
nm0003588	nm0706228	1	False	False
nm0003662	nm0279092	1	False	False
nm0003662	nm0381727	1	False	False
nm0003662	nm0475960	2	False	False
nm0003662	nm0666543	1	False	False
nm0003662	nm0765956	2	False	False
nm0003662	nm0906943	1	False	False
nm0003662	nm3251129	1	False	False
nm0003662	nm4349919	1	False	False
nm0003833	nm1815347	1	False	False
nm0003994	nm0625950	1	False	False
nm0003994	nm0774019	1	False	False
nm0004111	nm0398851	1	False	False
nm0004262	nm0180085	1	False	False
nm0004262	nm0857146	1	False	False
nm0004277	nm0069780	1	False	False
nm0004277	nm0159073	5	False	False
nm0004277	nm0755287	2	False	False
nm0004277	nm0919108	2	False	False
nm0004277	nm1171810	4	False	False
nm0004277	nm2245755	3	False	False
nm0004307	nm0096897	1	False	False
nm0004307	nm0278129	1	False	False
nm0004307	nm0453889	1	False	False
nm0004675	nm1029384	1	False	False
nm0004766	nm0009017	2	False	False
nm0004766	nm0146529	1	False	False
nm0004766	nm0220049	2	False	False
nm0004766	nm0235920	1	False	False
nm0004766	nm0281019	6	False	False
nm0004766	nm0307024	1	False	False
nm0004766	nm0382448	2	False	False
nm0004766	nm0416341	4	False	False
nm0004766	nm0800358	2	False	False
nm0004766	nm1061992	4	False	False
nm0004810	nm0109502	2	False	False
nm0004810	nm0146529	1	False	False
nm0004810	nm0319666	2	False	False
nm0004810	nm0341028	1	False	False
nm0004810	nm0705022	2	False	False
nm0004810	nm0923571	1	False	False
nm0005022	nm0563930	1	False	False
nm0005082	nm0041784	1	False	False
nm0005082	nm0074403	4	False	False
nm0005082	nm0123083	3	False	False
nm0005082	nm0245708	1	False	False
nm0005082	nm0355331	1	False	False
nm0005082	nm0357371	2	False	False
nm0005082	nm0423775	1	False	False
nm0005082	nm0461799	7	False	False
nm0005082	nm0507689	1	False	False
nm0005082	nm0514278	1	False	False
nm0005082	nm0615818	1	False	False
nm0005082	nm0624167	2	False	False
nm0005082	nm0679915	2	False	False
nm0005082	nm0732233	1	False	False
nm0005082	nm0833403	3	False	False
nm0005082	nm0936574	9	False	False
nm0005082	nm1188346	2	False	False
nm0005082	nm1188358	2	False	False
nm0005082	nm4071131	1	False	False
nm0005167	nm0752630	1	False	False
nm0005190	nm1038305	1	False	False
nm0005227	nm0732472	1	False	False
nm0005227	nm0796928	1	False	False
nm0005227	nm2479051	1	False	False
nm0005282	nm3558363	1	False	False
nm0005327	nm0496556	1	False	False
nm0005403	nm0056205	2	False	False
nm0006512	nm0688789	1	False	False
nm0006554	nm0048739	1	False	False
nm0006554	nm0080021	1	False	False
nm0006554	nm0525831	3	False	False
nm0006554	nm0866082	1	False	False
nm0006554	nm1072208	1	False	False
nm0006809	nm0066582	2	False	False
nm0006809	nm0140078	1	False	False
nm0006809	nm0536841	1	False	False
nm0006809	nm0714851	1	False	False
nm0006809	nm0736462	1	False	False
nm0006809	nm0807685	1	False	False
nm0006809	nm0833403	1	False	False
nm0006809	nm0906943	1	False	False
nm0006809	nm0919043	1	False	False
nm0006815	nm0073706	1	False	False
nm0006815	nm0449189	1	False	False
nm0006815	nm0461799	1	False	False
nm0006815	nm0589412	1	False	False
nm0006815	nm0826291	1	False	False
nm0006878	nm0536841	1	False	False
nm0006878	nm0994468	1	False	False
nm0006878	nm1006158	1	False	False
nm0006997	nm0044857	1	False	False
nm0006997	nm0047458	2	False	False
nm0006997	nm0189777	1	False	False
nm0006997	nm0406220	1	False	False
nm0006997	nm2041101	1	False	False
nm0006997	nm2640743	1	False	False
nm0006997	nm3428652	2	False	False
nm0007029	nm0376212	2	False	False
nm0007029	nm0408417	1	False	False
nm0007029	nm1431939	1	False	False
nm0007029	nm2038407	1	False	False
nm0007029	nm5484242	1	False	False
nm0007091	nm0200637	1	False	False
nm0007091	nm0381868	1	False	False
nm0007091	nm0385426	1	False	False
nm0007091	nm0398851	1	False	False
nm0007091	nm1376081	1	False	False
nm0007091	nm2109010	1	False	False
nm0007091	nm2636898	1	False	False
nm0007158	nm0040957	1	False	False
nm0007233	nm0343379	1	False	False
nm0007233	nm0548741	1	False	False
nm0007832	nm0805480	2	False	False
nm0007832	nm4867712	2	False	False
nm0008003	nm0750313	1	False	False
nm0008003	nm2381405	1	False	False
nm0008036	nm0081960	1	False	False
nm0008036	nm0135359	1	False	False
nm0008036	nm0386832	1	False	False
nm0008036	nm0479735	1	False	False
nm0008036	nm0572633	2	False	False
nm0008036	nm1140110	5	False	False
nm0008036	nm2743157	1	False	False
nm0008036	nm3558363	2	False	False
nm0008036	nm8516120	2	False	False
nm0008053	nm0076006	1	False	False
nm0008053	nm0665798	1	False	False
nm0008743	nm0099002	1	False	False
nm0008743	nm0851740	1	False	False
nm0009145	nm0481276	1	False	False
nm0009178	nm0007096	1	False	False
nm0009178	nm0240794	1	False	False
nm0009178	nm0401205	1	False	False
nm0009178	nm0658402	1	False	False
nm0009178	nm1131421	1	False	False
nm0009178	nm2186058	1	False	False
nm0009190	nm0026442	1	False	False
nm0009190	nm0135235	7	False	False
nm0009190	nm0161457	3	False	False
nm0009190	nm0221026	1	False	False
nm0009190	nm0321877	1	False	False
nm0009190	nm0395271	1	False	False
nm0009190	nm0576182	1	False	False
nm0009190	nm0767269	1	False	False
nm0009190	nm0842488	1	False	False
nm0009190	nm0870295	1	False	False
nm0009190	nm0872823	2	False	False
nm0009190	nm0929955	4	False	False
nm0009190	nm1063802	2	False	False
nm0009190	nm1206844	1	False	False
nm0009190	nm2489727	1	False	False
nm0009921	nm0036896	1	False	False
nm0010004	nm0857714	3	False	False
nm0011814	nm0873104	1	False	False
nm0011814	nm2175494	1	False	False
nm0011882	nm0313394	1	False	False
nm0011882	nm0501904	1	False	False
nm0011882	nm0519140	2	False	False
nm0011882	nm0609355	1	False	False
nm0011882	nm1158138	1	False	False
nm0011925	nm0210686	2	False	False
nm0011925	nm0283509	1	False	False
nm0011925	nm0325180	1	False	False
nm0011925	nm0575151	1	False	False
nm0011925	nm0730282	1	False	False
nm0011925	nm1006153	2	False	False
nm0012100	nm0002494	1	False	False
nm0012100	nm0381868	1	False	False
nm0012100	nm0548932	2	False	False
nm0012100	nm0818657	1	False	False
nm0012289	nm0096897	1	False	False
nm0012289	nm0671992	1	False	False
nm0013235	nm1364530	1	False	False
nm0013583	nm0159009	1	False	False
nm0013583	nm0270966	1	False	False
nm0013928	nm0795533	1	False	False
nm0015327	nm0081960	1	False	False
nm0015327	nm0240794	2	False	False
nm0015327	nm0282165	1	False	False
nm0015327	nm0370405	1	False	False
nm0015327	nm0709398	1	False	False
nm0015327	nm1003823	1	False	False
nm0015327	nm1188251	3	False	False
nm0015328	nm0316887	1	False	False
nm0015328	nm0501728	1	False	False
nm0015328	nm0922322	1	False	False
nm0016279	nm0658402	1	False	False
nm0016279	nm1038305	3	False	False
nm0018291	nm0502735	1	False	False
nm0018504	nm0076353	1	False	False
nm0018504	nm0135235	3	False	False
nm0018504	nm0459192	1	False	False
nm0018504	nm0767269	1	False	False
nm0018504	nm0872823	2	False	False
nm0018504	nm0929955	1	False	False
nm0018504	nm1206844	1	False	False
nm0018504	nm3089062	1	False	False
nm0018735	nm0000237	1	False	False
nm0018735	nm1558784	1	False	False
nm0020334	nm1742559	1	False	False
nm0020334	nm3216749	1	False	False
nm0020334	nm3605609	1	False	False
nm0020334	nm7038579	1	False	False
nm0020334	nm7038581	1	False	False
nm0020334	nm7038582	1	False	False
nm0020334	nm8423688	1	False	False
nm0022935	nm0057896	1	False	False
nm0022935	nm1222066	1	False	False
nm0022935	nm1928189	1	False	False
nm0022935	nm3250348	1	False	False
nm0023371	nm0491126	1	False	False
nm0023371	nm0629575	1	False	False
nm0023897	nm0008823	1	False	False
nm0023897	nm0012182	1	False	False
nm0023897	nm0109502	2	False	False
nm0023897	nm0341952	2	False	False
nm0023897	nm0434877	1	False	False
nm0023897	nm0695643	1	False	False
nm0023897	nm0705022	1	False	False
nm0023897	nm0795288	1	False	False
nm0023897	nm0886628	1	False	False
nm0023897	nm0923571	1	False	False
nm0023897	nm0925441	2	False	False
nm0023897	nm1003804	1	False	False
nm0023897	nm1548657	1	False	False
nm0023897	nm3319782	1	False	False
nm0023897	nm3640424	1	False	False
nm0024169	nm0496556	3	False	False
nm0024169	nm0555684	1	False	False
nm0024169	nm0738526	1	False	False
nm0024169	nm1144729	1	False	False
nm0024718	nm0205497	1	False	False
nm0024718	nm0834426	3	False	False
nm0024718	nm1472469	1	False	False
nm0024718	nm1857131	1	False	False
nm0024856	nm0688789	2	False	False
nm0024925	nm0728619	1	False	False
nm0025749	nm0476600	1	False	False
nm0025811	nm0248336	1	False	False
nm0025811	nm0333335	1	False	False
nm0025811	nm0483091	2	False	False
nm0025811	nm0581676	1	False	False
nm0025811	nm1444455	1	False	False
nm0026369	nm7957460	1	False	False
nm0026968	nm0521753	1	False	False
nm0026968	nm0539103	1	False	False
nm0026968	nm0815432	1	False	False
nm0027442	nm1106444	1	False	False
nm0027526	nm1340224	2	False	False
nm0028380	nm0261999	1	False	False
nm0028380	nm0646898	1	False	False
nm0028380	nm0646899	1	False	False
nm0028982	nm0081960	1	False	False
nm0028982	nm0135235	1	False	False
nm0028982	nm0302127	1	False	False
nm0028982	nm0625950	1	False	False
nm0028982	nm0946901	1	False	False
nm0028982	nm1332931	1	False	False
nm0029445	nm0434838	1	False	False
nm0029556	nm0004079	1	False	False
nm0029556	nm0004223	1	False	False
nm0029556	nm0081960	1	False	False
nm0029556	nm0172670	1	False	False
nm0029556	nm0188312	1	False	False
nm0029556	nm0290735	1	False	False
nm0029556	nm0734165	1	False	False
nm0029556	nm0753382	1	False	False
nm0029556	nm0765956	1	False	False
nm0029556	nm0850888	1	False	False
nm0029556	nm1420267	1	False	False
nm0029646	nm0024948	1	False	False
nm0029646	nm0482682	1	False	False
nm0029646	nm0713514	1	False	False
nm0029646	nm0834426	2	False	False
nm0029646	nm0859808	1	False	False
nm0031011	nm0240548	1	False	False
nm0031011	nm0392146	1	False	False
nm0031011	nm0684919	1	False	False
nm0031011	nm1334218	1	False	False
nm0031028	nm1691098	1	False	False
nm0031078	nm1660886	1	False	False
nm0031976	nm0382282	2	False	False
nm0031976	nm0398851	1	False	False
nm0031976	nm0673400	1	False	False
nm0031976	nm0918441	1	False	False
nm0031976	nm0918515	1	False	False
nm0031976	nm2692147	1	False	False
nm0031976	nm3319021	1	False	False
nm0032219	nm0338965	1	False	False
nm0032219	nm0677725	1	False	False
nm0032219	nm0851740	1	False	False
nm0032219	nm1180074	1	False	False
nm0032227	nm0002472	1	False	False
nm0032227	nm0135235	2	False	False
nm0032227	nm0475970	1	False	False
nm0032227	nm0556163	1	False	False
nm0032227	nm0654024	1	False	False
nm0032227	nm0872823	1	False	False
nm0032566	nm0561802	1	False	False
nm0032566	nm0738526	1	False	False
nm0032566	nm3152781	1	False	False
nm0032696	nm0496556	3	False	False
nm0033154	nm0250621	1	False	False
nm0033154	nm0400233	1	False	False
nm0033154	nm0603286	1	False	False
nm0033154	nm0663764	6	False	False
nm0033154	nm1121466	1	False	False
nm0033154	nm1121467	1	False	False
nm0034359	nm0006552	1	False	False
nm0034359	nm0279092	1	False	False
nm0034359	nm0313514	1	False	False
nm0034359	nm0620743	1	False	False
nm0034359	nm0721019	1	False	False
nm0034359	nm0861638	1	False	False
nm0034359	nm0957670	2	False	False
nm0034359	nm0959567	1	False	False
nm0034359	nm2232862	1	False	False
nm0035024	nm0268266	1	False	False
nm0035024	nm1691098	1	False	False
nm0036169	nm0695643	1	False	False
nm0036169	nm1003804	2	False	False
nm0036559	nm0316459	1	False	False
nm0036559	nm0859970	1	False	False
nm0036950	nm0270966	1	False	False
nm0036961	nm0240794	1	False	False
nm0036961	nm1003823	1	False	False
nm0038933	nm0000776	1	False	False
nm0038933	nm0695219	1	False	False
nm0038933	nm0742098	2	False	False
nm0038933	nm0765956	1	False	False
nm0038933	nm0901130	1	False	False
nm0038933	nm7162046	4	False	False
nm0039101	nm0056205	1	False	False
nm0039101	nm0366818	1	False	False
nm0039101	nm0589696	1	False	False
nm0039101	nm0827670	1	False	False
nm0040612	nm1273119	1	False	False
nm0041469	nm0143984	1	False	False
nm0041469	nm0313394	1	False	False
nm0041469	nm0319666	2	False	False
nm0041469	nm0326177	1	False	False
nm0041469	nm0516623	1	False	False
nm0041469	nm0543128	1	False	False
nm0041469	nm0919043	1	False	False
nm0041864	nm0738700	1	False	False
nm0042006	nm0119946	1	False	False
nm0044058	nm1077721	2	False	False
nm0044828	nm0140078	1	False	False
nm0044828	nm0168189	1	False	False
nm0044828	nm0278129	1	False	False
nm0044828	nm0658402	1	False	False
nm0044828	nm0887184	1	False	False
nm0044828	nm1131421	1	False	False
nm0044828	nm1941358	1	False	False
nm0046017	nm0650346	1	False	False
nm0046017	nm1140110	1	False	False
nm0046017	nm1474176	1	False	False
nm0046263	nm0136398	1	False	False
nm0046263	nm2175494	1	False	False
nm0046371	nm0011260	1	False	False
nm0046371	nm0057463	2	False	False
nm0046371	nm0213928	2	False	False
nm0047076	nm0800358	1	False	False
nm0047489	nm0789443	1	False	False
nm0047976	nm0140078	2	False	False
nm0047976	nm0178381	2	False	False
nm0047976	nm0335344	2	False	False
nm0047976	nm0799886	1	False	False
nm0047976	nm1373881	1	False	False
nm0047976	nm2385621	1	False	False
nm0048169	nm0497661	1	False	False
nm0048802	nm0117095	1	False	False
nm0048802	nm1017665	2	False	False
nm0048802	nm1483253	1	False	False
nm0048802	nm1559263	1	False	False
nm0048802	nm9632710	1	False	False
nm0048832	nm0055999	1	False	False
nm0048832	nm0463199	1	False	False
nm0048832	nm1244330	1	False	False
nm0048832	nm1340224	4	False	False
nm0049569	nm0217907	4	False	False
nm0049569	nm0321334	2	False	False
nm0049569	nm0332434	2	False	False
nm0049569	nm0425506	1	False	False
nm0049569	nm0450715	1	False	False
nm0049569	nm0458318	1	False	False
nm0049569	nm0738700	7	False	False
nm0049569	nm0857714	1	False	False
nm0049569	nm0998318	1	False	False
nm0049569	nm1930215	1	False	False
nm0049569	nm2059056	1	False	False
nm0049747	nm0137639	1	False	False
nm0049747	nm1024115	1	False	False
nm0050297	nm0561802	1	False	False
nm0050297	nm0774019	1	False	False
nm0050297	nm3152781	1	False	False
nm0050332	nm0041784	1	False	False
nm0050332	nm0215973	3	False	False
nm0050332	nm0242516	5	False	False
nm0050332	nm0573573	2	False	False
nm0050332	nm0625950	5	False	False
nm0050332	nm0732206	3	False	False
nm0050332	nm0874437	1	False	False
nm0053322	nm0002638	1	False	False
nm0053322	nm0187351	1	False	False
nm0053322	nm0200637	1	False	False
nm0053322	nm0358447	1	False	False
nm0053322	nm0826291	1	False	False
nm0053322	nm0872658	1	False	False
nm0053322	nm3242689	1	False	False
nm0053322	nm3319782	1	False	False
nm0053426	nm0331397	2	False	False
nm0053449	nm0331397	2	False	False
nm0053816	nm0175907	3	False	False
nm0053816	nm0270966	3	False	False
nm0053816	nm0806914	2	False	False
nm0053816	nm0941147	1	False	False
nm0053816	nm2428141	3	False	False
nm0054077	nm0382448	1	False	False
nm0054077	nm0800358	2	False	False
nm0055271	nm1267221	1	False	False
nm0055756	nm8007431	1	False	False
nm0055771	nm0394675	1	False	False
nm0056378	nm0687254	1	False	False
nm0056378	nm0932144	1	False	False
nm0056378	nm3934099	1	False	False
nm0057321	nm0048744	1	False	False
nm0057321	nm0810147	1	False	False
nm0058164	nm0748934	1	False	False
nm0058164	nm3214096	1	False	False
nm0058164	nm3606994	1	False	False
nm0059735	nm0024948	1	False	False
nm0059735	nm0194961	1	False	False
nm0059735	nm0808498	1	False	False
nm0059735	nm1317415	1	False	False
nm0060678	nm0589404	3	False	False
nm0061541	nm0047458	2	False	False
nm0061541	nm0136262	1	False	False
nm0061541	nm0321334	1	False	False
nm0061541	nm0332434	1	False	False
nm0061541	nm0376212	1	False	False
nm0061541	nm0425506	2	False	False
nm0061541	nm0564768	1	False	False
nm0061541	nm0800358	1	False	False
nm0061541	nm0859490	1	False	False
nm0061541	nm2458231	1	False	False
nm0063686	nm0641609	1	False	False
nm0063686	nm0808329	1	False	False
nm0063785	nm0734660	1	False	False
nm0063790	nm0240794	2	False	False
nm0063790	nm0282165	1	False	False
nm0063790	nm0709398	1	False	False
nm0064157	nm0006552	2	False	False
nm0064157	nm0066584	1	False	False
nm0064157	nm0073706	2	False	False
nm0064157	nm0081960	1	False	False
nm0064157	nm0140764	1	False	False
nm0064157	nm0168747	1	False	False
nm0064157	nm0340495	2	False	False
nm0064157	nm0474176	1	False	False
nm0064157	nm0587571	1	False	False
nm0064157	nm0765956	3	False	False
nm0064157	nm1144068	1	False	False
nm0064157	nm1618213	1	False	False
nm0064157	nm2467614	1	False	False
nm0064157	nm3629374	1	False	False
nm0064174	nm0006400	2	False	False
nm0064174	nm0048855	1	False	False
nm0064174	nm0213323	1	False	False
nm0064174	nm0755289	2	False	False
nm0064174	nm1266964	1	False	False
nm0064174	nm2671078	1	False	False
nm0064479	nm0108618	1	False	False
nm0064479	nm0803141	1	False	False
nm0064842	nm2524227	1	False	False
nm0065637	nm0107331	1	False	False
nm0065637	nm0439986	1	False	False
nm0065637	nm0569257	1	False	False
nm0065847	nm0175907	1	False	False
nm0065847	nm0270966	1	False	False
nm0065847	nm0800358	2	False	False
nm0065847	nm1337711	1	False	False
nm0065847	nm2140990	1	False	False
nm0065847	nm2771424	1	False	False
nm0066313	nm0456631	1	False	False
nm0066542	nm3152781	1	False	False
nm0066764	nm0688789	2	False	False
nm0066864	nm0137639	1	False	False
nm0066864	nm1024115	1	False	False
nm0066985	nm0075801	1	False	False
nm0066985	nm0113362	2	False	False
nm0066985	nm0163102	1	False	False
nm0066985	nm0319685	3	False	False
nm0066985	nm0472600	1	False	False
nm0066985	nm0757534	1	False	False
nm0066985	nm0765956	1	False	False
nm0066985	nm3833881	1	False	False
nm0067234	nm0180085	1	False	False
nm0067234	nm0352471	1	False	False
nm0067234	nm0664176	1	False	False
nm0067234	nm0710787	1	False	False
nm0067619	nm0649715	1	False	False
nm0067619	nm0929829	1	False	False
nm0067619	nm1028478	1	False	False
nm0068074	nm0691540	2	False	False
nm0068074	nm2448723	1	False	False
nm0068272	nm0135235	1	False	False
nm0068272	nm0146529	1	False	False
nm0068272	nm0319666	1	False	False
nm0068272	nm0416341	1	False	False
nm0068272	nm0543128	1	False	False
nm0068272	nm0705022	1	False	False
nm0068272	nm0753251	1	False	False
nm0068272	nm1219545	1	False	False
nm0068272	nm1703778	1	False	False
nm0068347	nm0287912	1	False	False
nm0068347	nm0567993	1	False	False
nm0068347	nm0605600	1	False	False
nm0068347	nm0641609	1	False	False
nm0068347	nm0691540	1	False	False
nm0068578	nm0075736	3	False	False
nm0068578	nm1313401	1	False	False
nm0068578	nm1545605	1	False	False
nm0068578	nm1652456	3	False	False
nm0068578	nm2244947	1	False	False
nm0068589	nm0016074	1	False	False
nm0068589	nm0448508	2	False	False
nm0068589	nm0691540	1	False	False
nm0068589	nm1657743	1	False	False
nm0068589	nm2649171	1	False	False
nm0069074	nm0069072	10	False	False
nm0069074	nm0168755	3	False	False
nm0069074	nm0171178	2	False	False
nm0069074	nm0237720	8	False	False
nm0069074	nm0242896	2	False	False
nm0069074	nm0721019	4	False	False
nm0069074	nm0771755	1	False	False
nm0069074	nm0914740	1	False	False
nm0069074	nm0915748	1	False	False
nm0069074	nm1766652	1	False	False
nm0069074	nm2017180	4	False	False
nm0069257	nm0004132	1	False	False
nm0069257	nm0592535	1	False	False
nm0069257	nm0670266	1	False	False
nm0069257	nm0925441	1	False	False
nm0069547	nm0048859	1	False	False
nm0070142	nm0357371	1	False	False
nm0070142	nm0563505	1	False	False
nm0070142	nm0679915	1	False	False
nm0070142	nm0899021	1	False	False
nm0070142	nm0907197	1	False	False
nm0070142	nm0936574	1	False	False
nm0070142	nm1475461	1	False	False
nm0072062	nm7990826	1	False	False
nm0072412	nm0006552	1	False	False
nm0072412	nm0073706	2	False	False
nm0072412	nm0131651	1	False	False
nm0072412	nm0319666	1	False	False
nm0072412	nm0321334	1	False	False
nm0072412	nm0383410	1	False	False
nm0072412	nm0397500	1	False	False
nm0072412	nm0555684	1	False	False
nm0072412	nm0571202	1	False	False
nm0072412	nm0587831	1	False	False
nm0072412	nm0663764	1	False	False
nm0072412	nm0695219	1	False	False
nm0072412	nm0826291	1	False	False
nm0072412	nm0879968	1	False	False
nm0072412	nm1219545	1	False	False
nm0072412	nm1602122	1	False	False
nm0072412	nm1618213	1	False	False
nm0072412	nm7162046	1	False	False
nm0072589	nm0338965	1	False	False
nm0072589	nm1180074	1	False	False
nm0073492	nm0317354	2	False	False
nm0073492	nm0899555	1	False	False
nm0073504	nm0366793	2	False	False
nm0073504	nm0555684	2	False	False
nm0073504	nm1016998	1	False	False
nm0073504	nm1144729	1	False	False
nm0073504	nm1479574	1	False	False
nm0073693	nm0319685	2	False	False
nm0073693	nm0919790	1	False	False
nm0073693	nm1014957	1	False	False
nm0073790	nm1131421	1	False	False
nm0074165	nm0003167	1	False	False
nm0074165	nm0820310	1	False	False
nm0074184	nm0099002	1	False	False
nm0074184	nm0851740	1	False	False
nm0074844	nm0048739	1	False	False
nm0074844	nm0525831	2	False	False
nm0074844	nm0866082	1	False	False
nm0074844	nm1072208	1	False	False
nm0075528	nm0002494	3	False	False
nm0075528	nm0009952	1	False	False
nm0075528	nm0278129	1	False	False
nm0075528	nm0321877	1	False	False
nm0075528	nm0527167	2	False	False
nm0075528	nm0548932	1	False	False
nm0075528	nm0771863	1	False	False
nm0075528	nm0825190	1	False	False
nm0075528	nm0859490	1	False	False
nm0075528	nm0919043	1	False	False
nm0075528	nm1660886	1	False	False
nm0075528	nm3113826	1	False	False
nm0075528	nm3199719	1	False	False
nm0075724	nm3696673	1	False	False
nm0075785	nm0003557	2	False	False
nm0075785	nm0024386	1	False	False
nm0075785	nm0153737	3	False	False
nm0075785	nm0161558	1	False	False
nm0075785	nm0277830	2	False	False
nm0075785	nm0278129	1	False	False
nm0075785	nm0326506	1	False	False
nm0075785	nm0381436	1	False	False
nm0075785	nm0383410	1	False	False
nm0075785	nm0587508	2	False	False
nm0075785	nm0587571	1	False	False
nm0075785	nm0879968	3	False	False
nm0075785	nm0934046	1	False	False
nm0075785	nm1278270	1	False	False
nm0075785	nm2045468	1	False	False
nm0075834	nm0268233	4	False	False
nm0075834	nm0892377	2	False	False
nm0076166	nm0455336	2	False	False
nm0076166	nm2050777	1	False	False
nm0076166	nm2768197	1	False	False
nm0076166	nm5404569	1	False	False
nm0076708	nm0126290	2	False	False
nm0076708	nm0140764	9	False	False
nm0076708	nm0363599	5	False	False
nm0076708	nm0447942	3	False	False
nm0076708	nm0564768	1	False	False
nm0076708	nm1158540	1	False	False
nm0076708	nm1222653	1	False	False
nm0076708	nm2458231	3	False	False
nm0076820	nm0521753	1	False	False
nm0076820	nm0539103	1	False	False
nm0076820	nm0738526	1	False	False
nm0076965	nm0341952	1	False	False
nm0076965	nm0637833	2	False	False
nm0076965	nm0738700	2	False	False
nm0076965	nm1241294	1	False	False
