nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	gender_wd	first_name	gender_guessed	gender_combined	gender
nm2288253	Lindsay Liles	1983	\N	producer,casting_department,costume_department	tt0313038,tt3780132,tt0348894,tt2307673	-	Lindsay	mostly_female	female	female
nm2291661	Matthew Krol	\N	\N	producer,actor,editor	tt7528562,tt2212323,tt0472989,tt6088652	-	Matthew	male	male	male
nm2291773	Dan O'Connor	1986	\N	miscellaneous,writer,actor	tt0056758,tt0062595	-	Dan	male	male	male
nm2295126	Amanda Johns	\N	\N	miscellaneous,producer,writer	tt2217759,tt0458286,tt1219024,tt1582453	-	Amanda	female	female	female
nm2295482	Timothy Ratajczak	\N	\N	writer,producer,miscellaneous	tt2065877,tt6951892,tt1663680,tt2171809	male	Timothy	male	male	male
nm2295769	Sarah C. Hale	\N	\N	producer,production_manager,miscellaneous	tt1259798,tt3415250,tt1326185,tt1264973	-	Sarah	female	female	female
nm2297407	George Mastras	\N	\N	producer,miscellaneous,writer	tt0903747,tt3186130,tt0486657,tt1190634	male	George	male	male	male
nm2298402	Anders Tangen	\N	\N	producer	tt1517181,tt1711386,tt5905354,tt1958961	male	Anders	male	male	male
nm2299609	Michael Scott	\N	\N	producer,writer,executive	tt2563562,tt2528814,tt2058710,tt1663680	male	Michael	male	male	male
nm2299662	Jennifer Betit Yen	\N	\N	actress,writer,producer	tt1433139,tt6600050,tt3591302,tt1557722	female	Jennifer	female	female	female
nm2302571	Veronica West	\N	\N	producer,writer,miscellaneous	tt0805669,tt1832979,tt8577458,tt3489236	-	Veronica	female	female	female
nm2303604	Abram Hatch	\N	\N	producer	tt0938567	-	Abram	male	male	male
nm2304758	Sameer Gardezi	1983	\N	writer,miscellaneous,producer	tt8985546,tt1442437,tt3635646,tt0822806	-	Sameer	male	male	male
nm2305431	Oren Peli	\N	\N	producer,writer,director	tt1991245,tt2473682,tt1519461,tt1179904	male	Oren	male	male	male
nm2306433	Rachel Dik	\N	\N	producer,miscellaneous,actress	tt1602613,tt1974419,tt1193138,tt0780504	female	Rachel	female	female	female
nm2307279	Ayelet Waldman	1964	\N	producer,writer	tt1859504,tt8806524,tt7909970,tt0366165	-	Ayelet	female	female	female
nm2308859	P. Ryan Baber	\N	\N	miscellaneous,writer	tt0386180,tt0897330	-	P.	unknown	male	male
nm2309496	Gregory Weidman	\N	\N	writer,miscellaneous,art_department	tt3416668,tt3250026,tt8110640,tt4422836	-	Gregory	male	male	male
nm2309735	Tze Chun	1980	\N	writer,producer,miscellaneous	tt2511428,tt1322282,tt0820170,tt3749900	male	Tze	unknown	male	male
nm2312213	Kevin Guzowski	\N	\N	writer,actor,producer	tt1259989,tt1733521,tt0816263	-	Kevin	male	male	male
nm2313586	Sascha Rothchild	\N	\N	producer,miscellaneous,writer	tt5770786,tt6116060,tt0829116,tt2056366	-	Sascha	mostly_male	female	female
nm2315750	Lisa Alden	\N	\N	writer,miscellaneous	tt0489606,tt3609090,tt0387199	-	Lisa	female	female	female
nm2317082	Tom Pabst	\N	\N	writer,producer,script_department	tt4643084,tt1043813,tt6048596,tt1536044	-	Tom	male	male	male
nm2317214	Nigel Campbell	\N	\N	actor,producer,writer	tt1354679,tt5176894,tt1358328,tt5825334	-	Nigel	male	male	male
nm2317456	Chris Masi	\N	\N	miscellaneous,writer,actor	tt2345481,tt2393813,tt4941240,tt1358522	-	Chris	mostly_male	male	male
nm2317737	Daniel H. Forer	\N	\N	writer,producer,director	tt10524714,tt0108968,tt1178481,tt1408430	-	Daniel	male	male	male
nm2319893	Dariusz Glazer	1974	\N	writer,director	tt0826160,tt7371666,tt1674050,tt4074666	-	Dariusz	male	male	male
nm2319943	Amy Bloom	\N	\N	writer,producer,miscellaneous	tt8115720,tt0824775,tt2180164,tt1836037	female	Amy	female	female	female
nm2322409	Cinque Henderson	\N	\N	writer	tt7053188,tt0460084,tt0485842,tt1870479	-	Cinque	unknown	female	female
nm2324230	Jennica Harper	\N	\N	producer,miscellaneous,writer	tt3441810,tt6467294,tt5583512,tt9080978	-	Jennica	unknown	female	female
nm2325207	Ariana Jackson	\N	\N	producer,writer,miscellaneous	tt5420376,tt3314218,tt2355844,tt5164196	-	Ariana	female	female	female
nm2325486	Allen Clary	\N	\N	writer,producer,miscellaneous	tt1442109,tt7487358,tt5637544,tt1225901	-	Allen	male	male	male
nm2327927	Katie Maguire	\N	\N	actress,writer,producer	tt5460226,tt2852626,tt1595859,tt4270492	female	Katie	female	female	female
nm2328145	Michael Lannan	\N	\N	writer,producer,director	tt2352488,tt3952830,tt0427969,tt4552118	male	Michael	male	male	male
nm2331723	Arthur Gradstein	\N	\N	writer,producer,actor	tt0972534,tt3531802,tt0415463,tt1604099	-	Arthur	male	male	male
nm2332207	Paul Sciarrotta	\N	\N	producer,writer,miscellaneous	tt8179162,tt2262532,tt3566726,tt2290339	-	Paul	male	male	male
nm2332952	Burk Sharpless	\N	\N	writer,producer	tt1618442,tt2404233,tt3717490,tt5232792	male	Burk	unknown	male	male
nm2336731	Kimberly A. Harrison	\N	\N	miscellaneous,producer,writer	tt4941240,tt0466342,tt0452046,tt8873996	-	Kimberly	mostly_female	female	female
nm2336968	Sonya Winton	\N	\N	writer,miscellaneous,producer	tt1610515,tt3560084,tt4428124,tt1821681	-	Sonya	female	female	female
nm2337556	Cami Delavigne	\N	\N	writer,producer,editor	tt7008682,tt1120985,tt4428122,tt7817340	-	Cami	female	female	female
nm2337847	Sam Means	\N	\N	writer,producer,miscellaneous	tt1266020,tt0496424,tt0115147,tt3339966	male	Sam	mostly_male	male	male
nm2341205	William Pierce	\N	\N	writer,editor,producer	tt4077072,tt0839796,tt1368153,tt2182346	-	William	male	male	male
nm2341944	Julian Wass	1981	\N	composer,music_department,soundtrack	tt5912454,tt3844362,tt2097307,tt6064882	-	Julian	male	male	male
nm2342649	Adam D'Andrea	\N	\N	writer,miscellaneous	tt0320024,tt2400129,tt1727387	-	Adam	male	male	male
nm2344866	Ryan Causey	\N	\N	script_department,miscellaneous,writer	tt0203259,tt9742936,tt2181467,tt1225822	-	Ryan	mostly_male	male	male
nm2347031	Michael Wormser	\N	\N	producer,actor,writer	tt2025667,tt7422552,tt9434996,tt7764650	-	Michael	male	male	male
nm2347302	Eoghan Mahony	\N	\N	producer,writer,miscellaneous	tt0770521,tt1196946,tt3581654,tt4520992	male	Eoghan	male	male	male
nm2347938	Liz Sczudlo	\N	\N	miscellaneous,producer,writer	tt3566726,tt2071645,tt1663676,tt1758772	-	Liz	female	female	female
nm2349127	Michael Chamoy	\N	\N	writer,miscellaneous,producer	tt1183865,tt0800080,tt0427998	-	Michael	male	male	male
nm2349355	Kem Nunn	\N	\N	writer,producer	tt0814164,tt5620076,tt0348914,tt1124373	male	Kem	unknown	male	male
nm2349385	Ian MacDonald	\N	\N	writer,producer	tt5011816	male	Ian	male	male	male
nm2350534	Barbara Caruso	\N	\N	producer,sound_department,actress	tt5594332,tt1489946,tt4210888,tt1929577	female	Barbara	female	female	female
nm2353156	Elisabeth Finch	\N	\N	producer,writer,miscellaneous	tt0413573,tt1591493,tt1405406,tt0844441	-	Elisabeth	female	female	female
nm2353561	Chuck Hogan	\N	\N	writer,producer	tt4172430,tt2654620,tt0840361	male	Chuck	male	male	male
nm2354355	Bruno Felix	\N	\N	producer,production_manager,director	tt7336470,tt1702437,tt0396392,tt1820479	male	Bruno	male	male	male
