nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	gender_wd	first_name	gender_guessed	gender_combined	gender
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt2935510,tt0114746,tt0356910,tt1210166	male	Brad	male	male	male
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0499549,tt0120338,tt0103064,tt0090605	male	James	male	male	male
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0099653,tt0108147,tt0105417,tt0088939	female	Whoopi	unknown	female	female
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0083767,tt0120689,tt0091499,tt0111161	male	Stephen	male	male	male
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt0102798,tt0108399,tt0124198,tt4158110	male	Christian	male	male	male
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0108052,tt0120815,tt0083866,tt0082971	male	Steven	male	male	male
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0110912,tt0076666,tt0113161,tt0077631	male	John	male	male	male
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt2267998,tt0840361,tt0119217,tt1024648	male	Ben	male	male	male
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0061189,tt0091419,tt0099612,tt0102926	male	Roger	male	male	male
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0070909,tt0107290,tt0108757,tt0117998	male	Michael	male	male	male
nm0000519	David Mamet	1947	\N	writer,producer,director	tt0104348,tt0120202,tt0093223,tt0120885	male	David	male	male	male
nm0000536	Robert Duncan McNeill	1964	\N	actor,producer,director	tt0387054,tt0093507,tt0112178,tt0934814	male	Robert	male	male	male
nm0000600	Sam Raimi	1959	\N	producer,writer,director	tt0083907,tt0106308,tt0145487,tt0099365	male	Sam	mostly_male	male	male
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt5932378,tt3894536,tt5377528,tt8632012	-	William	male	male	male
nm0000740	Irwin Allen	1916	1991	writer,producer,director	tt0060036,tt0072308,tt0044009,tt0057798	male	Irwin	male	male	male
nm0000776	Michael Apted	1941	\N	director,producer,miscellaneous	tt0157583,tt0143145,tt1734493,tt0384766	male	Michael	male	male	male
nm0000916	Peter Berg	1964	\N	producer,actor,writer	tt0108724,tt0369339,tt1091191,tt0124198	male	Peter	male	male	male
nm0001005	Jane Campion	1954	\N	writer,director,producer	tt0107822,tt0098725,tt0810784,tt2103085	female	Jane	female	female	female
nm0001027	Shaun Cassidy	1958	\N	producer,writer,actor	tt0233491,tt0111880,tt0460651,tt0075513	male	Shaun	male	male	male
nm0001081	Cameron Crowe	1957	\N	writer,producer,director	tt0116695,tt0259711,tt0105415,tt0181875	male	Cameron	mostly_male	male	male
nm0001104	Frank Darabont	1959	\N	writer,producer,director	tt0111161,tt0120689,tt0884328,tt1520211	male	Frank	male	male	male
nm0001198	Debrah Farentino	1959	\N	actress,producer	tt0796264,tt0098789,tt0101516,tt0083397	female	Debrah	female	female	female
nm0001246	Dan Futterman	1967	\N	actor,producer,writer	tt0829459,tt0379725,tt0835434,tt0115685	male	Dan	male	male	male
nm0001299	Thomas Ian Griffith	1962	\N	producer,actor,writer	tt0295701,tt0097647,tt0120877,tt0104215	male	Thomas	male	male	male
nm0001438	Neil LaBute	1963	\N	writer,producer,director	tt0171580,tt0450345,tt5811556,tt0119361	male	Neil	male	male	male
nm0001465	Elmore Leonard	1925	2013	writer,producer,miscellaneous	tt0119396,tt1489428,tt0113161,tt0120780	male	Elmore	male	male	male
nm0001469	Barry Levinson	1942	\N	producer,writer,director	tt0120885,tt0105629,tt0083833,tt0095953	male	Barry	male	male	male
nm0001486	Sidney Lumet	1924	2011	director,producer,writer	tt0071877,tt0050083,tt0292963,tt0072890	male	Sidney	mostly_male	male	male
nm0001493	Peter MacNicol	1954	\N	actor,soundtrack,director	tt0118254,tt0084707	male	Peter	male	male	male
nm0001513	Tim Matheson	1947	\N	actor,director,producer	tt0283111,tt1832979,tt0200276,tt0077975	male	Tim	male	male	male
nm0001601	David Paymer	1954	\N	actor,director,producer	tt0112346,tt0113161,tt0120202,tt0120784	male	David	male	male	male
nm0001741	Bryan Singer	1965	\N	producer,director,writer	tt0348150,tt0120903,tt1877832,tt0114814	male	Bryan	male	male	male
nm0001873	Steven Zaillian	1953	\N	writer,producer,director	tt0120633,tt0108065,tt0108052,tt1302006	male	Steven	male	male	male
nm0001880	Edward Zwick	1952	\N	producer,writer,director	tt0325710,tt0092492,tt0138097,tt0110322	male	Edward	male	male	male
nm0001885	Lars von Trier	1956	\N	writer,director,producer	tt0276919,tt0115751,tt1527186,tt0168629	male	Lars	male	male	male
nm0001921	Paul Attanasio	1959	\N	writer,producer	tt0119008,tt0120184,tt0109635,tt0110932	male	Paul	male	male	male
nm0002041	Dean Devlin	1962	\N	producer,actor,director	tt1628841,tt0116629,tt0111282,tt0120685	male	Dean	male	male	male
nm0002339	Allen Coulter	\N	\N	director,producer,assistant_director	tt0141842,tt0427969,tt0914387,tt1403981	male	Allen	male	male	male
nm0002349	Kevin Inch	\N	\N	producer,director,assistant_director	tt0083470,tt0262985,tt0775374,tt0101199	-	Kevin	male	male	male
nm0002376	David Hare	1947	\N	writer,director,producer	tt0090310,tt0274558,tt0976051,tt1797469	male	David	male	male	male
nm0002417	Daniel Pyne	\N	\N	writer,producer,director	tt0164184,tt0118150,tt0368008,tt0488120	male	Daniel	male	male	male
nm0002418	Colin Brunton	1955	\N	producer,assistant_director,production_manager	tt0808447,tt9726452,tt3526078,tt8461042	-	Colin	male	male	male
nm0002472	Scott Shiffman	\N	\N	producer,miscellaneous,director	tt0103893,tt0119675,tt0175526,tt0313043	-	Scott	male	male	male
nm0002494	Michael Cedar	1956	\N	producer,production_manager,assistant_director	tt0892535,tt1591493,tt0128445,tt0119891	-	Michael	male	male	male
nm0002526	Robert Zappia	\N	\N	miscellaneous,writer,producer	tt1116184,tt0120694,tt0386907,tt0762148	-	Robert	male	male	male
nm0002532	Nick O'Hagan	\N	\N	producer,miscellaneous,production_manager	tt0410764,tt0462335,tt5563334,tt1441951	-	Nick	male	male	male
nm0002584	Amanda Slater	\N	\N	producer,production_manager,assistant_director	tt0211933,tt0247425,tt0139134,tt7491982	-	Amanda	female	female	female
nm0002592	David Fickas	\N	\N	producer,director,actor	tt0810788,tt9046022,tt0925435	-	David	male	male	male
nm0002638	Robert F. Phillips	\N	\N	producer,production_manager,camera_department	tt0117523,tt2017109,tt0324864,tt0985699	male	Robert	male	male	male
nm0002704	Bill D'Elia	\N	\N	producer,writer,director	tt0118254,tt0402711,tt2710104,tt3205802	-	Bill	male	male	male
nm0002718	Brian Koppelman	1966	\N	writer,producer,director	tt2364841,tt0465538,tt0496806,tt0313542	male	Brian	male	male	male
nm0002749	Michael Nankin	1955	\N	producer,director,writer	tt2189221,tt0093075,tt0407362,tt1699748	male	Michael	male	male	male
nm0002787	Steve Cohen	1964	2012	writer,producer	tt0282695,tt0120596,tt0433309	male	Steve	male	male	male
nm0002932	Greg Walker	\N	\N	producer,writer,miscellaneous	tt0182587,tt1043813,tt0321021,tt0279600	-	Greg	male	male	male
nm0002973	Lev L. Spiro	\N	\N	director,sound_department,actor	tt1442437,tt0367279,tt2372162,tt5540054	male	Lev	male	male	male
nm0003021	Chris McKay	\N	\N	director,producer,editor	tt1691338,tt1490017,tt0476922,tt4116284	male	Chris	mostly_male	male	male
nm0003160	Christopher McQuarrie	1968	\N	writer,producer,director	tt1631867,tt2345759,tt4912910,tt0114814	male	Christopher	male	male	male
nm0003167	Jace Alexander	1964	\N	director,producer,actor	tt1132290,tt0112697,tt0092493,tt0095082	-	Jace	male	male	male
nm0003183	Richard Sharkey	\N	\N	producer,location_management,production_manager	tt0167260,tt0472027,tt2189461,tt5743796	-	Richard	male	male	male
nm0003249	Kristofor Brown	\N	\N	producer,writer,miscellaneous	tt0273028,tt0115641,tt0817538,tt1835129	male	Kristofor	male	male	male
nm0003298	Scott Rosenberg	1963	\N	producer,writer,actor	tt0187078,tt7975244,tt0115639,tt0118880	male	Scott	male	male	male
nm0003306	Jeff Freilich	\N	\N	producer,writer,music_department	tt2543312,tt8965666,tt3609352,tt6128254	male	Jeff	male	male	male
nm0003430	Jim O'Grady	1965	\N	production_manager,producer,art_director	tt5651844,tt7949196,tt0862856,tt9103772	-	Jim	male	male	male
nm0003437	Judy Cairo	\N	\N	producer,executive	tt1435513,tt2205697,tt1263670,tt6744044	-	Judy	female	female	female
nm0003535	Ken Sanzel	\N	\N	producer,writer,director	tt0120008,tt0282695,tt0433309,tt0126016	male	Ken	male	male	male
nm0003557	Richard J. Lewis	\N	\N	producer,director,actor	tt0111687,tt0247082,tt0475784,tt1423894	male	Richard	male	male	male
nm0003571	Robert Florio	\N	\N	editor,producer,director	tt7370804,tt1378167,tt10416694,tt0411008	male	Robert	male	male	male
nm0003588	Craig Pryce	\N	\N	director,producer,writer	tt8461042,tt0109551,tt3906732,tt0102784	male	Craig	male	male	male
nm0003636	Matthew Spiegel	\N	\N	production_manager,producer,miscellaneous	tt5722190,tt4903242,tt0318997,tt5071412	-	Matthew	male	male	male
nm0003662	Graham Yost	1959	\N	producer,writer,script_department	tt1489428,tt0120570,tt0374463,tt0111257	male	Graham	male	male	male
nm0003733	Daniel Attias	\N	\N	director,producer,assistant_director	tt0285333,tt0306414,tt1796960,tt0090021	-	Daniel	male	male	male
nm0003833	James D. Solomon	\N	\N	miscellaneous,writer,producer	tt3568002,tt0968264,tt0118437,tt0486531	-	James	male	male	male
nm0003880	Sam Hill	\N	\N	producer,director,assistant_director	tt3514324,tt2654580,tt0313043,tt0139134	male	Sam	mostly_male	male	male
nm0003945	Jud Cremata	\N	\N	producer,miscellaneous,production_manager	tt1239443,tt8547768,tt2141011,tt0283746	-	Jud	unknown	male	male
nm0003994	Christian Williams	\N	\N	writer,producer,miscellaneous	tt0248654,tt0111999,tt0098761,tt0118278	male	Christian	male	male	male
nm0004055	Marco Black	1970	\N	production_manager,producer,assistant_director	tt0313043,tt0373469,tt0302886,tt0251736	-	Marco	male	male	male
nm0004079	Jim Michaels	1965	\N	visual_effects,producer,miscellaneous	tt0460637,tt0106057,tt3824722,tt0460681	male	Jim	male	male	male
nm0004111	Mark Frost	1953	\N	writer,producer,miscellaneous	tt0081873,tt4093826,tt0120667,tt0098936	male	Mark	male	male	male
nm0004132	Jill Footlick	\N	\N	producer,production_manager,miscellaneous	tt4635282,tt0203230,tt5057054,tt0171804	-	Jill	female	female	female
nm0004223	Philip Sgriccia	\N	\N	producer,director,editor	tt0092402,tt2070791,tt1190634,tt0460681	male	Philip	male	male	male
nm0004262	Lynn Marie Latham	\N	\N	writer,producer,miscellaneous	tt0078638,tt0069658,tt0106127,tt0101121	female	Lynn	mostly_female	female	female
nm0004277	Adam Belanoff	1962	\N	producer,writer,miscellaneous	tt0458253,tt0112118,tt1936532,tt0115144	-	Adam	male	male	male
nm0004307	Shane Salerno	1972	\N	writer,producer,music_department	tt1630029,tt1615065,tt0120591,tt1596753	male	Shane	male	male	male
nm0004428	Jeff Rafner	\N	\N	production_manager,producer,assistant_director	tt0091129,tt0099582,tt0118715,tt0103060	-	Jeff	male	male	male
nm0004447	Peter Lhotka	1962	\N	producer,production_manager,actor	tt0862856,tt0486051,tt0121200,tt0112023	male	Peter	male	male	male
nm0004475	Mitch Engel	1958	\N	producer,production_manager,miscellaneous	tt4254242,tt2708480,tt2149175,tt1567254	male	Mitch	male	male	male
nm0004627	Michael Lange	1950	\N	director,producer,assistant_director	tt8741582,tt0976014,tt0098878,tt0106179	male	Michael	male	male	male
nm0004629	Don Dunn	\N	\N	producer,miscellaneous,production_manager	tt1595842,tt1336006,tt3846674,tt1615925	-	Don	male	male	male
nm0004634	Ann Kindberg	\N	\N	producer,production_manager,assistant_director	tt3315386,tt0086927,tt0972412,tt5296406	-	Ann	female	female	female
nm0004675	Phil Alden Robinson	1950	\N	writer,director,producer	tt0097351,tt0164184,tt0105435,tt0213668	male	Phil	male	male	male
nm0004766	Steven Bochco	1943	2018	writer,producer,miscellaneous	tt0090466,tt0081873,tt0112086,tt0106079	male	Steven	male	male	male
nm0004810	Chris Carter	1956	\N	writer,producer,director	tt0120902,tt0106179,tt0443701,tt0182587	male	Chris	mostly_male	male	male
nm0004967	Ricky Paull Goldin	1965	\N	actor,producer,director	tt2357547,tt1568343,tt0069658,tt0090390	male	Ricky	male	male	male
nm0005022	Peter Horton	1953	\N	actor,producer,director	tt0092492,tt7817340,tt3551796,tt0413573	male	Peter	male	male	male
nm0005082	David E. Kelley	1956	\N	writer,producer,miscellaneous	tt0090466,tt0118437,tt3920596,tt0118254	male	David	male	male	male
nm0005167	Lorna Luft	1952	\N	actress,soundtrack,writer	tt0250581,tt0120577,tt0088395,tt0084021	female	Lorna	female	female	female
nm0005190	Garry Marshall	1934	2016	writer,producer,actor	tt0100405,tt1598822,tt0151738,tt0104694	male	Garry	male	male	male
nm0005227	Breckin Meyer	1974	\N	actor,writer,producer	tt0215129,tt0112697,tt0250687,tt0101917	male	Breckin	unknown	male	male
nm0005267	Shannon Nelson	\N	\N	actress,producer	tt0157503,tt0303140,tt2458862,tt5993740	female	Shannon	mostly_female	female	female
nm0005282	Mike O'Malley	1966	\N	actor,producer,writer	tt1327801,tt3263904,tt0765476,tt0120647	male	Mike	male	male	male
nm0005327	Freddie Prinze Jr.	1976	\N	actor,writer,producer	tt0119345,tt0160862,tt0267913,tt0331632	-	Freddie	mostly_male	male	male
nm0005403	Jason Schwartzman	1980	\N	actor,soundtrack,music_department	tt0128445,tt0838221,tt0446029,tt1748122	male	Jason	male	male	male
nm0005549	Haskell Wexler	1922	2015	cinematographer,camera_department,director	tt0061811,tt0061184,tt0064652,tt0073486	male	Haskell	male	male	male
nm0005604	David Knoller	\N	\N	producer,production_manager,director	tt0421030,tt6905686,tt0193676,tt3281796	male	David	male	male	male
nm0006400	Scott Kennedy	\N	\N	producer,cinematographer,miscellaneous	tt3499096,tt0130229,tt6195094,tt1658837	-	Scott	male	male	male
nm0006460	Karen S. Spiegel	\N	\N	producer,miscellaneous,camera_department	tt0118548,tt0101492,tt0101272,tt2402129	-	Karen	female	female	female
nm0006512	Steven Katz	1959	\N	producer,writer	tt5618256	-	Steven	male	male	male
nm0006552	Perry Husman	\N	\N	producer,assistant_director,production_manager	tt0120841,tt0103524,tt0089173,tt0090887	-	Perry	male	male	male
nm0006554	Rodrigo García	1959	\N	producer,writer,director	tt0835434,tt1602098,tt0420015,tt1121977	male	Rodrigo	male	male	male
nm0006593	Diane Cornell	\N	\N	producer,production_manager,miscellaneous	tt3097850,tt0297884,tt0443448	-	Diane	female	female	female
nm0006759	James Scura	\N	\N	producer,production_manager	tt4209256,tt6111130,tt1103987,tt1550524	-	James	male	male	male
nm0006809	Stephen Tolkin	\N	\N	writer,producer,director	tt0758737,tt6467294,tt0844653	male	Stephen	male	male	male
nm0006815	Scott Kaufer	1953	\N	producer,writer	tt0106179,tt1409008,tt0775558,tt0268789	-	Scott	male	male	male
nm0006878	Michael B. Silver	1967	\N	actor,director,writer	tt0329575,tt0107254,tt0250494,tt0460681	male	Michael	male	male	male
nm0006997	Peter M. Lenkov	1964	\N	producer,writer,miscellaneous	tt0285331,tt1600194,tt0790736,tt0106697	male	Peter	male	male	male
nm0007029	Trey Callaway	\N	\N	producer,writer,actor	tt0130018,tt2070791,tt0395843,tt4085584	male	Trey	male	male	male
nm0007091	Gabe Sachs	\N	\N	writer,producer,director	tt1196141,tt2477230,tt0411004,tt1225901	male	Gabe	male	male	male
nm0007096	Wendey Stanzler	\N	\N	director,editor,producer	tt0098213,tt3749900,tt0159206,tt1266020	female	Wendey	unknown	female	female
nm0007158	Niels Mueller	1961	\N	writer,producer,director	tt0364961,tt5157426,tt1326270,tt1592254	male	Niels	male	male	male
nm0007196	Jason Taylor	1979	\N	producer,miscellaneous,executive	tt1270798,tt1351685,tt1877832,tt3385516	-	Jason	male	male	male
nm0007233	Bryce Zabel	\N	\N	writer,producer,miscellaneous	tt0115151,tt0119707,tt0230011,tt0802821	male	Bryce	mostly_male	male	male
nm0007832	Andrea Abbate	1956	\N	producer,writer,actress	tt2756400,tt2084712,tt0165057,tt1441096	female	Andrea	female	female	female
nm0008003	Kevin Abbott	\N	\N	producer,writer,miscellaneous	tt0137330,tt1828327,tt0094540,tt3729144	-	Kevin	male	male	male
nm0008036	Paul Abbott	1960	\N	writer,miscellaneous,producer	tt3922704,tt0362192,tt0377260,tt1586680	male	Paul	male	male	male
nm0008053	Scott Abbott	\N	\N	writer	tt0238546,tt0149380,tt0117527,tt3087752	male	Scott	male	male	male
nm0008408	Hisham Abed	\N	\N	cinematographer,director,producer	tt0489598,tt3733214,tt7761352,tt7259746	-	Hisham	male	male	male
nm0008466	Lewis Abel	\N	\N	producer,production_manager,writer	tt0320000,tt3566726,tt0433309,tt0202513	-	Lewis	male	male	male
nm0008743	Jonathan Aibel	1969	\N	producer,writer,miscellaneous	tt2267968,tt0118375,tt0441773,tt1302011	male	Jonathan	male	male	male
nm0008823	Allison Abner	\N	\N	producer,miscellaneous,writer	tt2707408,tt0321021,tt0364845,tt0200276	female	Allison	female	female	female
nm0009017	Jonathan Abrahams	\N	\N	producer,writer,actor	tt1519931,tt1714204,tt2402061,tt0804503	male	Jonathan	male	male	male
nm0009145	David Abramowitz	\N	\N	miscellaneous,producer,writer	tt2320924,tt0088559,tt0086822,tt0103442	male	David	male	male	male
nm0009178	Gayle Abrams	\N	\N	producer,writer,manager	tt0106004,tt0411022,tt0210455,tt0756509	-	Gayle	mostly_female	female	female
nm0009190	J.J. Abrams	1966	\N	producer,writer,music_department	tt1650062,tt0796366,tt2488496,tt0411008	-	J.J.	unknown	male	male
nm0009207	Marc Abrams	\N	\N	producer,writer,miscellaneous	tt0285341,tt6146586,tt1630574,tt0387199	-	Marc	male	male	male
nm0009264	Lawrence Abramson	\N	\N	producer,miscellaneous,manager	tt0144640,tt1232199,tt2497788,tt0099026	-	Lawrence	male	male	male
nm0009921	Ben Acker	\N	\N	miscellaneous,writer,actor	tt4026560,tt0460681,tt4548442,tt1232775	-	Ben	male	male	male
nm0009952	Andrew A. Ackerman	1952	2008	producer,assistant_director,production_manager	tt0318883,tt0098801,tt0892535,tt0410997	-	Andrew	male	male	male
nm0010004	Peter Ackerman	\N	\N	producer,writer,actor	tt0268380,tt2149175,tt1080016,tt0438097	male	Peter	male	male	male
nm0010780	Bradley Adams	\N	\N	producer	tt0115145,tt0120907,tt0285861,tt0134178	male	Bradley	male	male	male
nm0010806	Carl W. Adams	\N	\N	sound_department,writer,producer	tt0111942,tt0795065,tt0423705,tt1553644	-	Carl	male	male	male
nm0011260	Penny Adams	\N	\N	producer,production_manager,assistant_director	tt0108757,tt0499554,tt0079588,tt0081873	-	Penny	female	female	female
nm0011814	Ilunga Adell	1948	\N	writer,miscellaneous,producer	tt0088470,tt0068128,tt0147757,tt0108871	male	Ilunga	unknown	male	male
nm0011850	Tevin Adelman	\N	\N	producer,miscellaneous,production_manager	tt0965375,tt2022190,tt2093995,tt5095238	-	Tevin	male	male	male
nm0011851	Thomas D. Adelman	\N	\N	producer,miscellaneous,production_manager	tt0762125,tt0099422,tt0129028,tt0114814	-	Thomas	male	male	male
nm0011882	Paul Adelstein	1969	\N	actor,writer,producer	tt2817246,tt0138524,tt0230030,tt0457400	male	Paul	male	male	male
nm0011925	Tammy Ader	\N	\N	writer,producer,script_department	tt0094582,tt0096684,tt0252019,tt0108894	female	Tammy	female	female	female
nm0012100	Ali Adler	1967	\N	producer,writer,miscellaneous	tt0934814,tt4016454,tt1591493,tt2087571	-	Ali	male	male	male
nm0012155	Gilbert Adler	1946	\N	producer,writer,director	tt0096708,tt0185371,tt0348150,tt0360486	male	Gilbert	male	male	male
nm0012182	Jim Adler	\N	\N	producer,writer,miscellaneous	tt1399045,tt2262383,tt0373981,tt1219024	-	Jim	male	male	male
nm0012289	Stephen Adly Guirgis	\N	\N	writer,actor,producer	tt2562232,tt0383028,tt4592410,tt0119643	male	Stephen	male	male	male
nm0012782	Peter Afterman	\N	\N	music_department,producer,composer	tt0271367,tt0467406,tt5758778,tt0120685	-	Peter	male	male	male
nm0013235	Juliana Agosto	\N	\N	writer,director,miscellaneous	tt0329886,tt0370209,tt0310605,tt0480311	-	Juliana	female	female	female
nm0013583	Michael Aguilar	\N	\N	producer,writer,executive	tt1033643,tt0407887,tt0300556,tt0360486	-	Michael	male	male	male
nm0013918	Neal Ahern Jr.	\N	\N	producer,production_manager,assistant_director	tt4396630,tt1641349,tt0200276,tt0106057	-	Neal	male	male	male
nm0013928	Valerie Ahern	\N	\N	writer,producer,miscellaneous	tt1865769,tt0244364,tt0460648,tt4591680	female	Valerie	female	female	female
nm0014254	Mike Aho	\N	\N	producer,writer,executive	tt2248762,tt2322264,tt4624874,tt8373090	-	Mike	male	male	male
nm0015327	Mara Brock Akil	1970	\N	producer,writer,miscellaneous	tt0247102,tt2345481,tt0772137,tt6045840	female	Mara	female	female	female
nm0015328	Salim Akil	1964	\N	producer,director,writer	tt2345481,tt0772137,tt1640484,tt6045840	male	Salim	male	male	male
nm0016074	Albert Alarr	\N	\N	producer,director,editorial_department	tt4109632,tt0119731,tt0058796,tt0118435	male	Albert	male	male	male
nm0016279	Tina Albanese	\N	\N	producer,editorial_department,writer	tt0103512,tt0247082,tt2382108,tt0112022	female	Tina	female	female	female
nm0016403	Chris Alberghini	1965	\N	producer,writer,director	tt0457600,tt1663676,tt0364902,tt8179162	male	Chris	mostly_male	male	male
nm0016539	Lisa Albert	\N	\N	producer,writer,miscellaneous	tt0804503,tt4304864,tt0112002,tt2543312	female	Lisa	female	female	female
nm0018291	Brian A. Alexander	1976	\N	script_department,producer,writer	tt0410975,tt3654206,tt2189221,tt0327437	-	Brian	male	male	male
nm0018504	Jesse Alexander	\N	\N	producer,writer,miscellaneous	tt0285333,tt0813715,tt0271367,tt0411008	male	Jesse	male	male	male
nm0018735	Scott Alexander	1963	\N	writer,producer,director	tt1126590,tt2788432,tt0117318,tt0109707	male	Scott	male	male	male
nm0020334	Byron Allen	1961	\N	producer,writer,actor	tt4154916,tt5478478,tt2932536,tt1719758	male	Byron	male	male	male
nm0020378	Christi Allen	1972	\N	production_manager,actress,producer	tt0810640,tt0119208,tt0166325,tt1554369	female	Christi	female	female	female
nm0022417	Marc David Alpert	\N	\N	producer,production_manager,miscellaneous	tt0118276,tt5164196,tt1592154,tt2647544	-	Marc	male	male	male
nm0022424	Sasha Alpert	\N	\N	producer,casting_department,casting_director	tt5730882,tt0481580,tt2577990	-	Sasha	mostly_male	female	female
nm0022913	Mark A. Altman	\N	\N	producer,writer,director	tt3499120,tt1219024,tt3663490,tt10207090	male	Mark	male	male	male
nm0022935	Shelly Altman	\N	\N	writer,miscellaneous	tt0062595,tt0057731,tt0069658,tt0056758	female	Shelly	female	female	female
nm0023371	D. Alvelo	1965	2004	writer	tt0316653,tt0187750,tt0463834,tt0139487	-	D.	unknown	male	male
nm0023897	David Amann	\N	\N	producer,writer,miscellaneous	tt0321021,tt7491982,tt1219024,tt0106179	male	David	male	male	male
nm0024169	Mark Amato	1965	\N	writer,miscellaneous,producer	tt0283203,tt10060094,tt0118423,tt0123816	-	Mark	male	male	male
nm0024386	Christopher Ambrose	\N	\N	producer,writer,miscellaneous	tt3560084,tt1582453,tt4124758,tt0460627	-	Christopher	male	male	male
nm0024718	Jonathan Ames	\N	\N	writer,producer,music_department	tt5742374,tt1255913,tt0460810,tt4197508	male	Jonathan	male	male	male
nm0024856	Jack Amiel	\N	\N	writer,producer,miscellaneous	tt2937900,tt0337697,tt0350028,tt0118495	male	Jack	male	male	male
nm0024925	Hossein Amini	1966	\N	writer,producer,director	tt0780504,tt1735898,tt1976000,tt1758810	male	Hossein	male	male	male
nm0024948	Gideon Amir	\N	\N	producer,production_manager,writer	tt0087727,tt8416494,tt0088708,tt0094607	-	Gideon	male	male	male
nm0025749	Joseph Anaya	\N	\N	writer,producer,editorial_department	tt0115624,tt0124901,tt0139239,tt0289828	-	Joseph	male	male	male
nm0025811	Bernie Ancheta	\N	\N	producer,miscellaneous,writer	tt0147757,tt0101150,tt1189346,tt0168357	-	Bernie	mostly_female	male	male
nm0026369	Antony Anderson	\N	\N	writer,director,assistant_director	tt0152946,tt0387230,tt3951130,tt0186072	-	Antony	male	male	male
nm0026442	Brad Anderson	1964	\N	director,producer,writer	tt0261983,tt0361862,tt1772264,tt0800241	male	Brad	male	male	male
nm0026782	Gregory Ramon Anderson	\N	\N	producer,writer,executive	tt1546418,tt0285869,tt2948530,tt0775539	-	Gregory	male	male	male
nm0026968	Josef Anderson	\N	\N	producer,writer,miscellaneous	tt0103405,tt0086678,tt0202179,tt0112167	-	Josef	male	male	male
nm0027032	Kimberly Calhoun Boling	1968	\N	producer,production_manager,miscellaneous	tt0470705,tt0477071,tt0780571,tt0348333	-	Kimberly	mostly_female	female	female
nm0027051	Lance Anderson	\N	\N	producer,editor,editorial_department	tt1405406,tt2632424,tt0120685,tt4421578	-	Lance	male	male	male
nm0027442	Sheri Anderson	\N	\N	writer,producer,miscellaneous	tt0081858,tt0086793,tt0058796,tt0056758	female	Sheri	female	female	female
nm0027446	Sheryl J. Anderson	\N	\N	producer,writer,miscellaneous	tt4671682,tt9077540,tt0959086,tt0158552	-	Sheryl	female	female	female
nm0027526	Tom Anderson	\N	\N	producer,writer,miscellaneous	tt5462720,tt0083399,tt0112025,tt0108934	-	Tom	male	male	male
nm0028380	Richard Andreoli	\N	\N	writer,miscellaneous	tt0160401,tt0238546,tt0884294,tt0787407	-	Richard	male	male	male
nm0028982	Laurence Andries	\N	\N	producer,writer,miscellaneous	tt0374463,tt0248654,tt8080122,tt3205802	-	Laurence	female	female	female
nm0029445	Dan Angel	\N	\N	producer,writer,miscellaneous	tt0111987,tt0274468,tt1295085,tt1765510	male	Dan	male	male	male
nm0029556	Michael Angeli	\N	\N	producer,writer,miscellaneous	tt0312172,tt0407362,tt0204993,tt0318252	male	Michael	male	male	male
nm0029646	Vincent Angell	\N	\N	producer,writer,actor	tt2741602,tt0904208,tt1103968,tt1949012	male	Vincent	male	male	male
nm0031011	Sheila M. Anthony	\N	\N	miscellaneous,writer,producer	tt0387714,tt0167743,tt0096579,tt0101120	-	Sheila	female	female	female
nm0031028	Trey Anthony	\N	\N	writer,actress,producer	tt9319680,tt0228432,tt0320809,tt0996557	female	Trey	male	female	female
nm0031078	Steve Antin	1958	\N	actor,writer,producer	tt0094608,tt1126591,tt0089218,tt0107220	male	Steve	male	male	male
nm0031976	Judd Apatow	1967	\N	producer,writer,director	tt1758830,tt0478311,tt1723816,tt0405422	male	Judd	male	male	male
nm0032219	Richard Appel	1963	\N	producer,writer,miscellaneous	tt0460654,tt0285341,tt0096697,tt0118375	male	Richard	male	male	male
nm0032227	Josh Appelbaum	\N	\N	producer,writer,camera_department	tt1291150,tt0787490,tt1229238,tt3949660	male	Josh	male	male	male
nm0032566	Harold Apter	\N	\N	writer,producer,miscellaneous	tt0072559,tt0092455,tt0115351,tt0123816	-	Harold	male	male	male
nm0032696	Avi Arad	1948	\N	producer,writer,music_department	tt0120903,tt0145487,tt4633694,tt0371746	male	Avi	male	male	male
nm0033154	Elaine Arata	\N	\N	producer,writer,miscellaneous	tt0092336,tt0238784,tt1179817,tt0195489	-	Elaine	female	female	female
nm0034359	Laurie Arent	\N	\N	producer,writer,miscellaneous	tt3560084,tt0460084,tt0080749,tt0874936	-	Laurie	female	female	female
nm0035024	Kevin Arkadie	1957	\N	writer,producer,miscellaneous	tt0164292,tt0108876	-	Kevin	male	male	male
