writer	producer	coop	genderUncategorized_w	genderUncategorized_p	gender_writer	gender_producer
nm0001438	nm5532522	1	False	False	male	female
nm0001465	nm0475960	1	False	False	male	male
nm0001486	nm0741689	1	False	False	male	male
nm0001493	nm0040957	1	False	False	male	male
nm0001493	nm0357371	1	False	False	male	female
nm0001493	nm0679915	1	False	False	male	male
nm0001741	nm0257159	1	False	False	male	male
nm0001741	nm0887184	1	False	False	male	female
nm0001873	nm0272605	1	False	False	male	male
nm0001880	nm0347958	1	False	False	male	male
nm0001880	nm0678050	1	False	False	male	female
nm0001880	nm0796848	1	False	False	male	male
nm0001885	nm0002638	1	False	False	male	male
nm0001921	nm0162722	1	False	False	male	female
nm0001921	nm0929829	1	False	False	male	female
nm0002041	nm0257159	1	False	False	male	male
nm0002041	nm0887184	1	False	False	male	female
nm0002376	nm1308615	1	False	False	male	female
nm0002417	nm1070915	1	False	False	male	male
nm0002417	nm7990826	1	False	False	male	male
nm0002526	nm0330430	1	False	False	male	male
nm0002704	nm0223209	2	False	False	male	male
nm0002704	nm2565870	1	False	False	male	male
nm0002718	nm0510956	1	False	False	male	female
nm0002718	nm1069530	1	False	False	male	female
nm0002718	nm3529149	1	False	False	male	male
nm0002718	nm3933675	1	False	False	male	male
nm0002749	nm0416341	1	False	False	male	female
nm0002749	nm0753251	1	False	False	male	male
nm0002787	nm0040957	1	False	False	male	male
nm0002932	nm0008823	1	False	False	male	female
nm0002932	nm0012182	1	False	False	male	male
nm0002932	nm0066548	1	False	False	male	male
nm0002932	nm0168655	2	False	False	male	male
nm0002932	nm0341028	1	False	False	male	male
nm0002932	nm0389972	2	False	False	male	male
nm0002932	nm0592535	1	False	False	male	male
nm0002932	nm0632871	1	False	False	male	male
nm0002932	nm0795288	1	False	False	male	male
nm0002932	nm0886628	1	False	False	male	female
nm0002932	nm0925441	3	False	False	male	male
nm0002932	nm1027122	1	False	False	male	female
nm0002932	nm3319782	1	False	False	male	male
nm0002973	nm0595038	1	False	False	male	female
nm0003021	nm0119946	1	False	False	male	male
nm0003021	nm0133150	1	False	False	male	male
nm0003160	nm0004475	1	False	False	male	male
nm0003160	nm0639681	1	False	False	male	male
nm0003160	nm0999931	1	False	False	male	male
nm0003160	nm4020371	1	False	False	male	female
nm0003298	nm0002472	1	False	False	male	male
nm0003298	nm0475970	1	False	False	male	male
nm0003298	nm0556163	1	False	False	male	male
nm0003298	nm0654024	1	False	False	male	male
nm0003535	nm0040957	3	False	False	male	male
nm0003535	nm0522160	1	False	False	male	male
nm0003535	nm0704621	1	False	False	male	female
nm0003535	nm0857714	1	False	False	male	female
nm0003535	nm0940016	1	False	False	male	male
nm0003588	nm0589404	1	False	False	male	male
nm0003588	nm0706228	1	False	False	male	female
nm0003662	nm0279092	1	False	False	male	male
nm0003662	nm0381727	1	False	False	male	male
nm0003662	nm0475960	2	False	False	male	male
nm0003662	nm0666543	1	False	False	male	female
nm0003662	nm0765956	2	False	False	male	male
nm0003662	nm0906943	1	False	False	male	female
nm0003662	nm3251129	1	False	False	male	male
nm0003662	nm4349919	1	False	False	male	male
nm0003833	nm1815347	1	False	False	male	male
nm0003994	nm0625950	1	False	False	male	female
nm0003994	nm0774019	1	False	False	male	male
nm0004111	nm0398851	1	False	False	male	male
nm0004262	nm0180085	1	False	False	female	male
nm0004262	nm0857146	1	False	False	female	male
nm0004277	nm0069780	1	False	False	male	female
nm0004277	nm0159073	5	False	False	male	male
nm0004277	nm0755287	2	False	False	male	male
nm0004277	nm0919108	2	False	False	male	male
nm0004277	nm1171810	4	False	False	male	male
nm0004277	nm2245755	3	False	False	male	male
nm0004307	nm0096897	1	False	False	male	male
nm0004307	nm0278129	1	False	False	male	male
nm0004307	nm0453889	1	False	False	male	male
nm0004675	nm1029384	1	False	False	male	male
nm0004766	nm0009017	2	False	False	male	male
nm0004766	nm0146529	1	False	False	male	female
nm0004766	nm0220049	2	False	False	male	male
nm0004766	nm0235920	1	False	False	male	male
nm0004766	nm0281019	6	False	False	male	female
nm0004766	nm0307024	1	False	False	male	male
nm0004766	nm0382448	2	False	False	male	male
nm0004766	nm0416341	4	False	False	male	female
nm0004766	nm0800358	2	False	False	male	male
nm0004766	nm1061992	4	False	False	male	male
nm0004810	nm0109502	2	False	False	male	male
nm0004810	nm0146529	1	False	False	male	female
